bus_id,phases,base_kv,type
B1,abc,1.0,slack
B2,abc,1.0,pq
B3,abc,1.0,pq
B4,abc,1.0,pq
B5,abc,1.0,pq
B6,abc,1.0,pq
B7,abc,1.0,pq
B8,a,1.0,pq
B9,a,1.0,pq
B10,a,1.0,pq
B11,a,1.0,pq
B12,a,1.0,pq
B13,a,1.0,pq
B14,abc,1.0,pq
B15,abc,1.0,pq
B16,abc,1.0,pq
B17,abc,1.0,pq
B18,abc,1.0,pq
B19,abc,1.0,pq
B20,abc,1.0,pq
B21,abc,1.0,pq
B22,abc,1.0,pq
B23,abc,1.0,pq
B24,abc,1.0,pq
B25,c,1.0,pq
B26,c,1.0,pq
B27,c,1.0,pq
B28,c,1.0,pq
B29,c,1.0,pq
B30,c,1.0,pq
B31,c,1.0,pq
B32,c,1.0,pq
B33,c,1.0,pq
B34,abc,1.0,pq
B35,abc,1.0,pq
B36,abc,1.0,pq
B37,abc,1.0,pq
B38,abc,1.0,pq
B39,a,1.0,pq
B40,a,1.0,pq
B41,abc,1.0,pq
B42,abc,1.0,pq
B43,abc,1.0,pq
B44,abc,1.0,pq
B45,abc,1.0,pq
B46,abc,1.0,pq
B47,abc,1.0,pq
B48,abc,1.0,pq
B49,abc,1.0,pq
B50,abc,1.0,pq
B51,c,1.0,pq
B52,c,1.0,pq
B53,c,1.0,pq
B54,c,1.0,pq
B55,c,1.0,pq
B56,c,1.0,pq
B57,c,1.0,pq
B58,c,1.0,pq
B59,c,1.0,pq
B60,c,1.0,pq
B61,c,1.0,pq
B62,c,1.0,pq
B63,c,1.0,pq
B64,c,1.0,pq
B65,c,1.0,pq
B66,c,1.0,pq
B67,c,1.0,pq
B68,c,1.0,pq
B69,c,1.0,pq
B70,c,1.0,pq
B71,c,1.0,pq
B72,c,1.0,pq
B73,b,1.0,pq
B74,c,1.0,pq
B75,c,1.0,pq
B76,c,1.0,pq
B77,c,1.0,pq
B78,c,1.0,pq
B79,c,1.0,pq
B80,c,1.0,pq
B81,a,1.0,pq
B82,a,1.0,pq
B83,a,1.0,pq
B84,a,1.0,pq
B85,a,1.0,pq
B86,a,1.0,pq
B87,a,1.0,pq
B88,a,1.0,pq
B89,a,1.0,pq
B90,a,1.0,pq
B91,a,1.0,pq
B92,b,1.0,pq
B93,b,1.0,pq
B94,b,1.0,pq
B95,b,1.0,pq
B96,c,1.0,pq
B97,c,1.0,pq
B98,c,1.0,pq
B99,a,1.0,pq
B100,a,1.0,pq
