bus_id,phase,scenario,p_pu,q_pu
B13,a,h001,-0.001536,-0.00031189810273383046
B26,c,h001,-0.0026880000000000003,-0.0005458216797842034
B27,c,h001,-0.001152,-0.00023392357705037285
B29,c,h001,-0.000768,-0.00015594905136691523
B30,c,h001,-0.002304,-0.0004678471541007457
B32,c,h001,-0.00192,-0.00038987262841728813
B40,a,h001,-0.00192,-0.00038987262841728813
B52,c,h001,-0.008064,-0.00163746503935261
B61,c,h001,-0.001536,-0.00031189810273383046
B78,c,h001,-0.003456,-0.0007017707311511186
B79,c,h001,-0.000768,-0.00015594905136691523
B80,c,h001,-0.004224,-0.0008577197825180339
B85,a,h001,-0.000768,-0.00015594905136691523
B86,a,h001,-0.000768,-0.00015594905136691523
B91,a,h001,-0.000768,-0.00015594905136691523
B94,b,h001,-0.008064,-0.00163746503935261
B95,b,h001,-0.005376000000000001,-0.0010916433595684067
B97,c,h001,-0.002304,-0.0004678471541007457
B100,a,h001,-0.003456,-0.0007017707311511186
B13,a,h002,-0.001152,-0.00023392357705037285
B26,c,h002,-0.0026880000000000003,-0.0005458216797842034
B27,c,h002,-0.001152,-0.00023392357705037285
B29,c,h002,-0.001152,-0.00023392357705037285
B30,c,h002,-0.000768,-0.00015594905136691523
B32,c,h002,-0.001536,-0.00031189810273383046
B40,a,h002,-0.00192,-0.00038987262841728813
B52,c,h002,-0.008064,-0.00163746503935261
B61,c,h002,-0.001536,-0.00031189810273383046
B78,c,h002,-0.00384,-0.0007797452568345763
B79,c,h002,-0.00192,-0.00038987262841728813
B80,c,h002,-0.004224,-0.0008577197825180339
B85,a,h002,-0.001152,-0.00023392357705037285
B86,a,h002,-0.000768,-0.00015594905136691523
B91,a,h002,-0.00192,-0.00038987262841728813
B94,b,h002,-0.00768,-0.0015594905136691525
B95,b,h002,-0.005376000000000001,-0.0010916433595684067
B97,c,h002,-0.00192,-0.00038987262841728813
B100,a,h002,-0.003456,-0.0007017707311511186
B13,a,h003,-0.001152,-0.00023392357705037285
B26,c,h003,-0.004992,-0.001013668833884949
B27,c,h003,-0.001152,-0.00023392357705037285
B29,c,h003,-0.001536,-0.00031189810273383046
B30,c,h003,-0.00192,-0.00038987262841728813
B32,c,h003,-0.00192,-0.00038987262841728813
B40,a,h003,-0.001536,-0.00031189810273383046
B52,c,h003,-0.007296,-0.0014815159879856949
B61,c,h003,-0.001536,-0.00031189810273383046
B73,b,h003,-0.000384,-7.797452568345762e-5
B78,c,h003,-0.003456,-0.0007017707311511186
B79,c,h003,-0.000768,-0.00015594905136691523
B80,c,h003,-0.004608,-0.0009356943082014914
B85,a,h003,-0.001152,-0.00023392357705037285
B86,a,h003,-0.001536,-0.00031189810273383046
B91,a,h003,-0.000384,-7.797452568345762e-5
B94,b,h003,-0.008064,-0.00163746503935261
B95,b,h003,-0.005376000000000001,-0.0010916433595684067
B97,c,h003,-0.002304,-0.0004678471541007457
B100,a,h003,-0.003456,-0.0007017707311511186
B13,a,h004,-0.001536,-0.00031189810273383046
B26,c,h004,-0.0026880000000000003,-0.0005458216797842034
B27,c,h004,-0.001152,-0.00023392357705037285
B29,c,h004,-0.001152,-0.00023392357705037285
B30,c,h004,-0.000768,-0.00015594905136691523
B32,c,h004,-0.001536,-0.00031189810273383046
B40,a,h004,-0.00192,-0.00038987262841728813
B52,c,h004,-0.004224,-0.0008577197825180339
B61,c,h004,-0.001536,-0.00031189810273383046
B78,c,h004,-0.004608,-0.0009356943082014914
B79,c,h004,-0.000768,-0.00015594905136691523
B80,c,h004,-0.004224,-0.0008577197825180339
B85,a,h004,-0.000768,-0.00015594905136691523
B86,a,h004,-0.000768,-0.00015594905136691523
B91,a,h004,-0.000768,-0.00015594905136691523
B94,b,h004,-0.008448,-0.0017154395650360679
B95,b,h004,-0.005376000000000001,-0.0010916433595684067
B97,c,h004,-0.00192,-0.00038987262841728813
B100,a,h004,-0.003456,-0.0007017707311511186
B13,a,h005,-0.002304,-0.0004678471541007457
B26,c,h005,-0.002304,-0.0004678471541007457
B27,c,h005,-0.001536,-0.00031189810273383046
B29,c,h005,-0.000768,-0.00015594905136691523
B30,c,h005,-0.001536,-0.00031189810273383046
B32,c,h005,-0.00192,-0.00038987262841728813
B40,a,h005,-0.001536,-0.00031189810273383046
B52,c,h005,-0.00384,-0.0007797452568345763
B61,c,h005,-0.001536,-0.00031189810273383046
B78,c,h005,-0.004608,-0.0009356943082014914
B79,c,h005,-0.000768,-0.00015594905136691523
B80,c,h005,-0.003456,-0.0007017707311511186
B85,a,h005,-0.000768,-0.00015594905136691523
B86,a,h005,-0.000384,-7.797452568345762e-5
B91,a,h005,-0.000768,-0.00015594905136691523
B94,b,h005,-0.008064,-0.00163746503935261
B95,b,h005,-0.004992,-0.001013668833884949
B97,c,h005,-0.002304,-0.0004678471541007457
B100,a,h005,-0.003456,-0.0007017707311511186
B13,a,h006,-0.001536,-0.00031189810273383046
B26,c,h006,-0.003072,-0.0006237962054676609
B27,c,h006,-0.003072,-0.0006237962054676609
B29,c,h006,-0.000768,-0.00015594905136691523
B30,c,h006,-0.000768,-0.00015594905136691523
B32,c,h006,-0.00192,-0.00038987262841728813
B40,a,h006,-0.00192,-0.00038987262841728813
