bus_id,super_node,kept
B1,B1,1
B2,B1,0
B3,B3,1
B4,B3,0
B5,B5,1
B6,B6,1
B7,B6,0
B8,B6,0
B9,B6,0
B10,B6,0
B11,B6,0
B12,B6,0
B13,B6,0
B14,B6,0
B15,B15,1
B16,B16,1
B17,B16,0
B18,B16,0
B19,B16,0
B20,B16,0
B21,B16,0
B22,B16,0
B23,B16,0
B24,B16,0
B25,B25,1
B26,B25,0
B27,B27,1
B28,B57,0
B29,B57,0
B30,B57,0
B31,B5,0
B32,B5,0
B33,B5,0
B34,B3,0
B35,B3,0
B36,B3,0
B37,B3,0
B38,B38,1
B39,B38,0
B40,B38,0
B41,B38,0
B42,B38,0
B43,B38,0
B44,B38,0
B45,B38,0
B46,B38,0
B47,B38,0
B48,B38,0
B49,B38,0
B50,B38,0
B51,B6,0
B52,B52,1
B53,B5,0
B54,B5,0
B55,B5,0
B56,B5,0
B57,B57,1
B58,B57,0
B59,B57,0
B60,B57,0
B61,B57,0
B62,B57,0
B63,B57,0
B64,B57,0
B65,B57,0
B66,B57,0
B67,B57,0
B68,B57,0
B69,B57,0
B70,B57,0
B71,B57,0
B72,B57,0
B73,B16,0
B74,B16,0
B75,B16,0
B76,B16,0
B77,B16,0
B78,B16,0
B79,B16,0
B80,B80,1
B81,B16,0
B82,B16,0
B83,B16,0
B84,B16,0
B85,B16,0
B86,B16,0
B87,B16,0
B88,B16,0
B89,B16,0
B90,B16,0
B91,B16,0
B92,B92,1
B93,B93,1
B94,B94,1
B95,B95,1
B96,B15,0
B97,B97,1
B98,B15,0
B99,B38,0
B100,B100,1
