bus_id,phase,scenario,p_pu,q_pu
B1,a,h067,0,0
B1,a,h091,0,0
B1,b,h067,0,0
B1,b,h091,0,0
B1,c,h067,0,0
B1,c,h091,0,0
B3,a,h067,0,0
B3,a,h091,0,0
B3,b,h067,0,0
B3,b,h091,0,0
B3,c,h067,0,0
B3,c,h091,0,0
B5,a,h067,0,0
B5,a,h091,0,0
B5,b,h067,0,0
B5,b,h091,0,0
B5,c,h067,-0.00192,-0.00038987262841728813
B5,c,h091,-0.0030720000000000001,-0.00062379620546766093
B6,a,h067,-0.0026880000000000003,-0.00054582167978420337
B6,a,h091,-0.00192,-0.00038987262841728813
B6,b,h067,0,0
B6,b,h091,0,0
B6,c,h067,0,0
B6,c,h091,0,0
B15,a,h067,0,0
B15,a,h091,0,0
B15,b,h067,0,0
B15,b,h091,0,0
B15,c,h067,0,0
B15,c,h091,0,0
B16,a,h067,-0.008064,-0.00163746503935261
B16,a,h091,-0.0069119999999999997,-0.0014035414623022372
B16,b,h067,0,0
B16,b,h091,0,0
B16,c,h067,-0.0049919999999999999,-0.0010136688338849491
B16,c,h091,-0.0042240000000000003,-0.00085771978251803383
B25,c,h067,-0.0034559999999999999,-0.0007017707311511186
B25,c,h091,-0.0026880000000000003,-0.00054582167978420337
B27,c,h067,-0.011136,-0.0022612612448202709
B27,c,h091,-0.0061440000000000002,-0.0012475924109353219
B38,a,h067,-0.00192,-0.0004678471541007457
B38,a,h091,0,0
B38,b,h067,0,0
B38,b,h091,0,0
B38,c,h067,0,0
B38,c,h091,0,0
B52,c,h067,-0.0069119999999999997,-0.0014035414623022372
B52,c,h091,-0.0046080000000000001,-0.00093569430820149139
B57,c,h067,-0.0049919999999999999,-0.0010136688338849491
B57,c,h091,-0.0046080000000000001,-0.00093569430820149139
B80,c,h067,-0.0069119999999999997,-0.0014035414623022372
B80,c,h091,-0.010368,-0.0021053121934533556
B92,b,h067,0,0
B92,b,h091,0,0
B93,b,h067,0,0
B93,b,h091,0,0
B94,b,h067,-0.0076800000000000002,-0.0015594905136691525
B94,b,h091,-0.0096000000000000009,-0.0019493631420864407
B95,b,h067,-0.0063600000000000002,-0.0012914530816322668
B95,b,h091,-0.0057600000000000004,-0.0011696178852518642
B97,c,h067,-0.0026880000000000003,-0.00054582167978420337
B97,c,h091,-0.0023040000000000001,-0.0004678471541007457
B100,a,h067,-0.0034559999999999999,-0.0007017707311511186
B100,a,h091,0,0
