row,col,g,b
1,1,0.10820468194596296,-70.821984866435884
2,1,-0.0041023409730056009,35.460992433217946
3,1,-0.0041023409729573444,35.460992433217925
4,1,-0.004736975330110256,40.946827054099302
5,1,0.009473950660240647,-81.893654108198604
6,1,0.002368487665023406,-20.473413527049637
1,2,-0.0041023409729778349,35.460992433217932
2,2,0.10820468194596608,-70.821984866435884
3,2,-0.0041023409729882372,35.460992433217939
4,2,0.0023684876650509729,-20.473413527049647
5,2,-0.0047369753301181794,40.946827054099295
6,2,0.009473950660238142,-81.893654108198604
1,3,-0.0041023409729780049,35.460992433217939
2,3,-0.0041023409729830365,35.460992433217939
3,3,0.10820468194596106,-70.821984866435884
4,3,0.0094739506602275533,-81.893654108198604
5,3,0.0023684876650581065,-20.473413527049644
6,3,-0.0047369753301200546,40.946827054099309
1,4,-0.0071054629951693496,61.420240581148974
3,4,0.0071054629951693496,-61.420240581148974
4,4,7348.3502879431471,-7900.7855208147157
5,4,-2258.6149873705913,1345.464409473575
6,4,-1623.1785118728446,1338.4107051380042
7,4,-7194.1057080280825,7508.4447530288689
8,4,2205.7447241781947,-1275.7208615183802
9,4,1593.0381456924572,-1282.5107164586771
12,4,-8.2190326948976324e-12,1.0469842719848436e-11
15,4,-2.9180231458210772e-17,3.71354166577315e-19
16,4,-9.2205462177782312e-12,1.6547258312462424e-13
17,4,8.7349570088534859e-25,3.0846944122026519e-25
18,4,1.1184846244427348e-24,2.8672122181586613e-25
19,4,5.5451379447435591e-15,4.1910748857729902e-15
20,4,4.9007903585338934e-14,2.3253347774711485e-14
21,4,2.399950246123646e-11,2.2842856361929501e-12
22,4,8.622912270138546e-15,5.0010783467483673e-15
23,4,-3.4570882412675781e-13,-2.9997733873711309e-12
24,4,2.1595565834140378e-11,2.5394165946939427e-11
25,4,4.2067679729470493e-15,1.4617244592923078e-15
26,4,5.1687744477397602e-15,1.4812445124963189e-15
27,4,2.5504202903305419e-12,1.4703944082949568e-12
28,4,-1.7754395239934691e-11,-1.2111724062304984e-11
29,4,-3.1880040585874683e-10,-1.2868095558372766e-10
30,4,-1.2310966247284182e-10,3.0193708468572928e-12
31,4,1.7349560069472588e-10,-3.2107270661832946e-10
32,4,8.886067239331738e-11,-5.0412498555020721e-11
34,4,-154.23227289302173,285.95779048645136
35,4,52.870263192224293,-69.743547954900606
36,4,30.140366180881429,-55.899988679107402
37,4,2.2172230186347479e-11,5.3193437716223923e-11
38,4,6.8792379066184458e-12,-1.3304192838163115e-11
39,4,-1.1618005437862613e-12,-2.3379375102445675e-11
40,4,7.1631009634112337e-11,2.4042222899781293e-10
41,4,-4.1189731585475273e-11,-1.1942699573953894e-10
42,4,-3.0645273360691011e-11,-7.4039681548292902e-12
43,4,-2.6603346644738031e-11,-1.0472112117885866e-11
44,4,1.6579919012918921e-11,-7.6898070396976059e-12
45,4,-9.4531430411539096e-12,-1.1148494394123757e-11
46,4,-1.1456313330828447e-11,1.0892274826825994e-12
47,4,9.8142828148996529e-11,-4.3571258289418154e-11
48,4,-1.9300128465972268e-11,1.3550520544247449e-12
49,4,-7.6340910100610043e-12,-1.2587410729543512e-11
50,4,2.6018133331458635e-11,4.1276013887085907e-12
51,4,-4.3566140808490631e-13,2.5971644144690521e-13
52,4,-4.1952386368891391e-12,4.6429647158781561e-12
53,4,8.3483614794974652e-13,1.783013360472672e-13
59,4,-1.8859989028529956e-17,-1.9331344619820264e-17
60,4,2.7219039598097446e-17,6.1364628001883536e-18
61,4,-4.6088724014698666e-19,-1.0955143014514035e-19
63,4,-1.6757860500587457e-20,-7.236850151690121e-21
64,4,-3.3746487405518712e-17,-8.1114229949588298e-19
65,4,-2.3614344918803466e-17,-1.5875731268993136e-17
66,4,-1.1729622969491907e-19,1.0985456324550495e-19
67,4,-3.8009915602459905e-17,-8.9483558171866906e-18
68,4,-8.003087245010878e-19,-3.4091151776194291e-19
69,4,-1.2424306189755443e-16,-2.22182746255382e-16
70,4,2.7531649158439345e-16,-4.8727045232352466e-16
71,4,2.6113326086953383e-16,-5.9361280538556818e-16
72,4,1.0733789062754199e-16,-1.2537443243108313e-16
73,4,-1.4128945899944649e-30,-1.6992268556176961e-30
