bus_id,phases,base_kv,type
1,a,12.47,slack
2,a,12.47,pq
3,a,12.47,pq
4,a,12.47,pq
5,a,12.47,pq
6,a,12.47,pq
7,a,12.47,pq
8,a,12.47,pq
9,a,12.47,pq
10,a,12.47,pq
11,a,12.47,pq
12,a,12.47,pq
13,a,12.47,pq
14,a,12.47,pq
15,a,12.47,pq
16,a,12.47,pq
17,a,12.47,pq
18,a,12.47,pq
19,a,12.47,pq
20,a,12.47,pq
21,a,12.47,pq
22,a,12.47,pq
23,a,12.47,pq
24,a,12.47,pq
25,a,12.47,pq
26,a,12.47,pq
27,a,12.47,pq
28,a,12.47,pq
29,a,12.47,pq
30,a,12.47,pq
31,a,12.47,pq
32,a,12.47,pq
33,a,12.47,pq
34,a,12.47,pq
35,a,12.47,pq
36,a,12.47,pq
37,a,12.47,pq
38,a,12.47,pq
39,a,12.47,pq
40,a,12.47,pq
41,a,12.47,pq
42,a,12.47,pq
43,a,12.47,pq
44,a,12.47,pq
45,a,12.47,pq
46,a,12.47,pq
47,a,12.47,pq
48,a,12.47,pq
49,a,12.47,pq
50,a,12.47,pq
51,a,12.47,pq
52,a,12.47,pq
53,a,12.47,pq
54,a,12.47,pq
55,a,12.47,pq
56,a,12.47,pq
57,a,12.47,pq
58,a,12.47,pq
59,a,12.47,pq
60,a,12.47,pq
61,a,12.47,pq
62,a,12.47,pq
63,a,12.47,pq
64,a,12.47,pq
65,a,12.47,pq
66,a,12.47,pq
67,a,12.47,pq
68,a,12.47,pq
69,a,12.47,pq
70,a,12.47,pq
71,a,12.47,pq
72,a,12.47,pq
73,a,12.47,pq
74,a,12.47,pq
75,a,12.47,pq
76,a,12.47,pq
77,a,12.47,pq
78,a,12.47,pq
79,a,12.47,pq
80,a,12.47,pq
81,a,12.47,pq
82,a,12.47,pq
83,a,12.47,pq
84,a,12.47,pq
85,a,12.47,pq
86,a,12.47,pq
87,a,12.47,pq
88,a,12.47,pq
89,a,12.47,pq
90,a,12.47,pq
91,a,12.47,pq
92,a,12.47,pq
93,a,12.47,pq
94,a,12.47,pq
95,a,12.47,pq
96,a,12.47,pq
97,a,12.47,pq
98,a,12.47,pq
99,a,12.47,pq
100,a,12.47,pq
101,a,12.47,pq
102,a,12.47,pq
103,a,12.47,pq
104,a,12.47,pq
105,a,12.47,pq
106,a,12.47,pq
107,a,12.47,pq
108,a,12.47,pq
109,a,12.47,pq
110,a,12.47,pq
111,a,12.47,pq
112,a,12.47,pq
113,a,12.47,pq
114,a,12.47,pq
115,a,12.47,pq
116,a,12.47,pq
117,a,12.47,pq
118,a,12.47,pq
119,a,12.47,pq
120,a,12.47,pq
121,a,12.47,pq
122,a,12.47,pq
123,a,12.47,pq
124,a,12.47,pq
125,a,12.47,pq
126,a,12.47,pq
127,a,12.47,pq
128,a,12.47,pq
129,a,12.47,pq
130,a,12.47,pq
131,a,12.47,pq
132,a,12.47,pq
133,a,12.47,pq
134,a,12.47,pq
135,a,12.47,pq
136,a,12.47,pq
137,a,12.47,pq
138,a,12.47,pq
139,a,12.47,pq
140,a,12.47,pq
141,a,12.47,pq
