from_bus,to_bus,phases,r,x,b
1,2,a,0.000289183,0.000475417,0.0
1,3,a,0.000328467,0.000662892,0.0
4,1,a,0.000961394,0.001996898,0.0
5,2,a,0.247364266,0.139251062,0.0
5,6,a,0.027863723,0.004373436,0.0
6,7,a,0.398977986,0.066484391,0.0
7,8,a,0.067883681,0.012975432,0.0
5,9,a,0.208766667,0.063536421,0.0
9,10,a,0.066111111,0.020120374,0.0
11,10,a,0.095,0.029226847,0.0
11,12,a,0.090711111,0.028244336,0.0
12,13,a,0.067577778,0.020566742,0.0
13,14,a,0.156288264,0.029873274,0.0
14,15,a,0.075133333,0.022866213,0.0
15,16,a,0.219155556,0.066698194,0.0
16,17,a,0.0978,0.029764627,0.0
17,18,a,0.235416667,0.023420137,0.0
12,19,a,0.294904514,0.052741123,0.0
11,20,a,0.139822222,0.043160902,0.0
20,21,a,0.137592431,0.026299712,0.0
5,22,a,0.239918542,0.041684789,0.0
5,23,a,0.043220833,0.024010276,0.0
24,23,a,0.090162882,0.014582553,0.0
24,25,a,0.04400441,0.008386089,0.0
25,26,a,0.074835486,0.012553608,0.0
26,27,a,0.169541493,0.026580165,0.0
28,2,a,0.015817569,0.008259662,0.0
29,28,a,0.04492691,0.022563835,0.0
29,30,a,0.049522083,0.026264914,0.0
31,30,a,0.044647396,0.026960865,0.0
31,32,a,0.00984809,0.006746897,0.0
32,33,a,0.014038229,0.008455466,0.0
34,33,a,0.04824875,0.025954464,0.0
34,35,a,0.033796771,0.016953801,0.0
36,2,a,0.090628368,0.047669523,0.0
36,37,a,0.170242083,0.085905542,0.0
38,2,a,0.025255833,0.014019794,0.0
38,39,a,0.021056806,0.010625128,0.0
40,39,a,0.020606771,0.010398344,0.0
6,41,a,0.142377674,0.024212407,0.0
42,41,a,0.149054757,0.025026167,0.0
42,43,a,0.074605278,0.014260213,0.0
5,44,a,0.135366736,0.022557072,0.0
22,45,a,0.183953646,0.030653436,0.0
5,46,a,0.042744444,0.013008921,0.0
5,47,a,0.506677778,0.154203221,0.0
5,48,a,0.263688889,0.080251548,0.0
49,48,a,0.074255556,0.022599069,0.0
50,49,a,0.099855556,0.030390218,0.0
51,50,a,0.145711111,0.04434598,0.0
52,51,a,0.075566667,0.022998094,0.0
49,53,a,0.109838021,0.01830305,0.0
53,54,a,0.244916667,0.024365233,0.0
55,48,a,0.416416667,0.041426699,0.0
5,56,a,0.0834,0.025382105,0.0
56,57,a,0.114890347,0.018636517,0.0
57,58,a,0.15733434,0.025462281,0.0
59,58,a,0.557958333,0.055507797,0.0
60,2,a,0.084021528,0.046676104,0.0
61,60,a,0.0304425,0.016911586,0.0
62,61,a,0.022760694,0.012644147,0.0
63,2,a,0.050245903,0.02779055,0.0
64,63,a,0.09060441,0.049270645,0.0
65,64,a,0.036736667,0.016807521,0.0
65,66,a,0.028608229,0.014435945,0.0
68,67,a,0.142671424,0.03071594,0.0
64,69,a,0.064307361,0.035724381,0.0
69,70,a,0.054618611,0.025385814,0.0
70,71,a,0.025356597,0.011398854,0.0
72,2,a,0.006648256,0.003693276,0.0
73,74,a,0.050230694,0.027904433,0.0
74,2,a,0.025733194,0.014295446,0.0
72,76,a,0.049057639,0.027252771,0.0
75,76,a,0.048884444,0.027444975,0.0
77,2,a,0.574452639,0.105789533,0.0
75,78,a,0.647027222,0.139436645,0.0
78,79,a,0.238282847,0.039368737,0.0
80,79,a,0.247356632,0.046012115,0.0
81,2,a,0.046489327,0.025826008,0.0
77,82,a,0.154396424,0.024971407,0.0
83,3,a,0.071801944,0.037280778,0.0
83,84,a,0.145632326,0.039760018,0.0
84,85,a,0.0665,0.020238729,0.0
86,85,a,0.14211059,0.027163323,0.0
87,85,a,0.108955556,0.033159729,0.0
87,88,a,0.174583472,0.031018428,0.0
88,89,a,0.202983333,0.033824481,0.0
90,87,a,0.030888889,0.00940078,0.0
91,90,a,0.089866667,0.027350182,0.0
91,92,a,0.1394175,0.026613653,0.0
93,91,a,0.069133333,0.021040162,0.0
