bus_id,phase,scenario,p_pu,q_pu
6,a,hi,-0.00070000002,-7.00002e-6
7,a,hi,-7.999997999999999e-5,-7.979999999999999e-7
8,a,hi,0.0006,6.0e-6
9,a,hi,-0.00092584002,-9.25842e-6
10,a,hi,-7.999997999999999e-5,-7.979999999999999e-7
11,a,hi,-0.00030721998,-3.0719999999999996e-6
12,a,hi,-0.00026999999999999995,-2.7e-6
13,a,hi,-0.00073399998,-7.3399799999999995e-6
14,a,hi,-0.0008160799799999999,-8.160779999999998e-6
15,a,hi,-0.00018199997999999998,-1.818e-6
16,a,hi,-0.00021199997999999997,-2.118e-6
17,a,hi,-0.00065455998,-6.545579999999999e-6
18,a,hi,-0.00018869999999999998,-1.89e-6
19,a,hi,-0.0006242599799999999,-6.24258e-6
20,a,hi,-0.00066835998,-6.683579999999999e-6
21,a,hi,-0.00012199998,-1.2179999999999998e-6
22,a,hi,-0.0025853399999999998,-2.58534e-5
23,a,hi,-0.008151959999999998,-8.151959999999999e-5
24,a,hi,-0.0021961399799999997,-2.1961379999999998e-5
25,a,hi,-0.0036339400199999995,-3.6339419999999994e-5
26,a,hi,-0.00161058,-1.6105799999999997e-5
27,a,hi,-0.00013999997999999999,-1.398e-6
28,a,hi,-0.007005520019999999,-7.005522e-5
29,a,hi,-0.0008232,-8.232e-6
30,a,hi,-0.008260000019999998,-8.260001999999999e-5
32,a,hi,-0.004427620019999999,-4.4276219999999996e-5
33,a,hi,-0.00551593998,-5.515938e-5
34,a,hi,-0.009129520019999999,-9.129522e-5
35,a,hi,-0.0062565,-6.2565e-5
36,a,hi,-0.0068422199999999996,-6.842219999999999e-5
38,a,hi,-0.007657219979999999,-7.657218e-5
39,a,hi,-0.00271561998,-2.7156179999999998e-5
40,a,hi,-0.006290779979999999,-6.290777999999999e-5
41,a,hi,-0.0004981600199999999,-4.98e-6
42,a,hi,-0.00010000001999999999,-1.0019999999999999e-6
43,a,hi,-5.9999999999999995e-5,-6.0e-7
44,a,hi,-0.007689739979999999,-7.689737999999999e-5
45,a,hi,-0.00136990002,-1.3699019999999998e-5
46,a,hi,-0.00130782,-1.30782e-5
47,a,hi,0.0012199999799999998,1.219998e-5
48,a,hi,-0.00069721998,-6.972179999999999e-6
49,a,hi,-0.0007979999999999999,-7.98e-6
50,a,hi,-0.0008682400199999999,-8.68242e-6
51,a,hi,-0.00015089999999999998,-1.5119999999999999e-6
52,a,hi,0.00070000002,7.00002e-6
53,a,hi,-0.0005950799999999999,-5.952e-6
54,a,hi,-0.0005335999799999999,-5.334e-6
55,a,hi,-0.00020092002,-2.01e-6
56,a,hi,-0.00228636,-2.28636e-5
57,a,hi,-0.00589228002,-5.892282e-5
58,a,hi,-0.0013302,-1.3301999999999999e-5
59,a,hi,-0.0008010599999999999,-8.0106e-6
60,a,hi,-0.00805873998,-8.058738e-5
61,a,hi,-0.007276019999999999,-7.276019999999999e-5
62,a,hi,-0.005909140019999999,-5.9091419999999996e-5
63,a,hi,-0.01270810002,-0.00012708101999999997
64,a,hi,-0.004692460019999999,-4.6924619999999996e-5
65,a,hi,-0.00174,-1.74e-5
66,a,hi,-0.008816699999999998,-8.8167e-5
67,a,hi,-0.01001142,-0.0001001142
68,a,hi,-0.011988040019999998,-0.00011988041999999999
69,a,hi,-0.008443619999999999,-8.443619999999999e-5
70,a,hi,-0.00397176,-3.9717599999999994e-5
71,a,hi,-0.0027573400199999995,-2.7573419999999997e-5
72,a,hi,-0.08284000002,-0.0008284000199999999
73,a,hi,-0.009319999979999999,-9.319998e-5
74,a,hi,-0.00558,-5.58e-5
75,a,hi,-0.00187128,-1.8712799999999998e-5
76,a,hi,-0.0022999999799999996,-2.299998e-5
77,a,hi,-0.0004697399999999999,-4.698e-6
78,a,hi,-0.00218884002,-2.1888419999999997e-5
79,a,hi,-0.0009148199999999999,-9.1482e-6
