bus_id,phase,scenario,p_pu,q_pu
6,a,base,-0.00026,-0.00022
7,a,base,-0.00404,-0.003
8,a,base,-0.0075,-0.0054
9,a,base,-0.003,-0.0021999999999999997
10,a,base,-0.0028,-0.0019
11,a,base,-0.014499999999999999,-0.0104
12,a,base,-0.014499999999999999,-0.0104
13,a,base,-0.0008,-0.0005499999999999999
14,a,base,-0.0008,-0.0005499999999999999
16,a,base,-0.00455,-0.003
17,a,base,-0.006,-0.0035000000000000005
18,a,base,-0.006,-0.0035000000000000005
20,a,base,-0.0001,-5.9999999999999995e-5
21,a,base,-0.0114,-0.0081
22,a,base,-0.00053,-0.00035
24,a,base,-0.0028,-0.002
26,a,base,-0.0014,-0.001
27,a,base,-0.0014,-0.001
28,a,base,-0.0026,-0.00186
29,a,base,-0.0026,-0.00186
33,a,base,-0.0014,-0.001
34,a,base,-0.00195,-0.0014
35,a,base,-0.0006000000000000001,-0.0004
36,a,base,-0.0026,-0.00186
37,a,base,-0.0026,-0.00186
39,a,base,-0.0024000000000000002,-0.0017000000000000001
40,a,base,-0.0024000000000000002,-0.0017000000000000001
41,a,base,-0.00011999999999999999,-0.0001
43,a,base,-0.0006000000000000001,-0.00043
45,a,base,-0.003920000000000001,-0.00263
46,a,base,-0.003920000000000001,-0.00263
48,a,base,-0.0079,-0.00564
49,a,base,-0.03847,-0.027450000000000002
50,a,base,-0.03847,-0.027450000000000002
51,a,base,-0.00405,-0.00283
52,a,base,-0.00035999999999999997,-0.00027
53,a,base,-0.00043,-0.00035
54,a,base,-0.00264,-0.0019
55,a,base,-0.0024000000000000002,-0.00172
59,a,base,-0.01,-0.0072
61,a,base,-0.1244,-0.0888
62,a,base,-0.0032,-0.0023
64,a,base,-0.0227,-0.0162
65,a,base,-0.0059,-0.004200000000000001
66,a,base,-0.0018,-0.0013
67,a,base,-0.0018,-0.0013
68,a,base,-0.0028,-0.002
69,a,base,-0.0028,-0.002
