bus_id,phases,base_kv,type
Sourcebus,abc,1,slack
1,abc,1,pq
10,abc,1,pq
100,abc,1,pq
101,abc,1,pq
102,abc,1,pq
103,abc,1,pq
104,abc,1,pq
105,abc,1,pq
106,abc,1,pq
107,abc,1,pq
108,abc,1,pq
109,abc,1,pq
11,abc,1,pq
110,abc,1,pq
111,abc,1,pq
112,abc,1,pq
113,abc,1,pq
114,abc,1,pq
115,abc,1,pq
116,abc,1,pq
117,abc,1,pq
118,abc,1,pq
119,abc,1,pq
12,abc,1,pq
120,abc,1,pq
121,abc,1,pq
122,abc,1,pq
123,abc,1,pq
124,abc,1,pq
125,abc,1,pq
126,abc,1,pq
127,abc,1,pq
128,abc,1,pq
129,abc,1,pq
13,abc,1,pq
130,abc,1,pq
131,abc,1,pq
132,abc,1,pq
133,abc,1,pq
134,abc,1,pq
135,abc,1,pq
136,abc,1,pq
137,abc,1,pq
138,abc,1,pq
139,abc,1,pq
14,abc,1,pq
140,abc,1,pq
141,abc,1,pq
142,abc,1,pq
143,abc,1,pq
144,abc,1,pq
145,abc,1,pq
146,abc,1,pq
147,abc,1,pq
148,abc,1,pq
149,abc,1,pq
15,abc,1,pq
150,abc,1,pq
151,abc,1,pq
152,abc,1,pq
153,abc,1,pq
154,abc,1,pq
155,abc,1,pq
156,abc,1,pq
157,abc,1,pq
158,abc,1,pq
159,abc,1,pq
16,abc,1,pq
160,abc,1,pq
161,abc,1,pq
162,abc,1,pq
163,abc,1,pq
164,abc,1,pq
165,abc,1,pq
166,abc,1,pq
167,abc,1,pq
168,abc,1,pq
169,abc,1,pq
17,abc,1,pq
170,abc,1,pq
171,abc,1,pq
172,abc,1,pq
173,abc,1,pq
174,abc,1,pq
175,abc,1,pq
176,abc,1,pq
177,abc,1,pq
178,abc,1,pq
179,abc,1,pq
18,abc,1,pq
180,abc,1,pq
181,abc,1,pq
182,abc,1,pq
183,abc,1,pq
184,abc,1,pq
185,abc,1,pq
186,abc,1,pq
187,abc,1,pq
188,abc,1,pq
189,abc,1,pq
19,abc,1,pq
190,abc,1,pq
191,abc,1,pq
192,abc,1,pq
193,abc,1,pq
194,abc,1,pq
195,abc,1,pq
196,abc,1,pq
197,abc,1,pq
198,abc,1,pq
199,abc,1,pq
2,abc,1,pq
20,abc,1,pq
200,abc,1,pq
201,abc,1,pq
202,abc,1,pq
203,abc,1,pq
204,abc,1,pq
205,abc,1,pq
206,abc,1,pq
207,abc,1,pq
208,abc,1,pq
209,abc,1,pq
21,abc,1,pq
210,abc,1,pq
211,abc,1,pq
212,abc,1,pq
213,abc,1,pq
214,abc,1,pq
215,abc,1,pq
216,abc,1,pq
217,abc,1,pq
218,abc,1,pq
219,abc,1,pq
22,abc,1,pq
220,abc,1,pq
221,abc,1,pq
222,abc,1,pq
223,abc,1,pq
224,abc,1,pq
225,abc,1,pq
226,abc,1,pq
227,abc,1,pq
228,abc,1,pq
229,abc,1,pq
23,abc,1,pq
230,abc,1,pq
231,abc,1,pq
232,abc,1,pq
233,abc,1,pq
234,abc,1,pq
235,abc,1,pq
236,abc,1,pq
237,abc,1,pq
238,abc,1,pq
239,abc,1,pq
24,abc,1,pq
240,abc,1,pq
241,abc,1,pq
242,abc,1,pq
243,abc,1,pq
244,abc,1,pq
245,abc,1,pq
246,abc,1,pq
247,abc,1,pq
248,abc,1,pq
249,abc,1,pq
25,abc,1,pq
250,abc,1,pq
251,abc,1,pq
252,abc,1,pq
253,abc,1,pq
254,abc,1,pq
255,abc,1,pq
256,abc,1,pq
257,abc,1,pq
258,abc,1,pq
259,abc,1,pq
26,abc,1,pq
260,abc,1,pq
261,abc,1,pq
262,abc,1,pq
263,abc,1,pq
264,abc,1,pq
265,abc,1,pq
266,abc,1,pq
267,abc,1,pq
268,abc,1,pq
269,abc,1,pq
27,abc,1,pq
270,abc,1,pq
271,abc,1,pq
272,abc,1,pq
273,abc,1,pq
274,abc,1,pq
275,abc,1,pq
276,abc,1,pq
277,abc,1,pq
278,abc,1,pq
279,abc,1,pq
28,abc,1,pq
280,abc,1,pq
281,abc,1,pq
282,abc,1,pq
283,abc,1,pq
284,abc,1,pq
285,abc,1,pq
286,abc,1,pq
287,abc,1,pq
288,abc,1,pq
289,abc,1,pq
29,abc,1,pq
290,abc,1,pq
291,abc,1,pq
292,abc,1,pq
293,abc,1,pq
294,abc,1,pq
295,abc,1,pq
296,abc,1,pq
297,abc,1,pq
298,abc,1,pq
299,abc,1,pq
3,abc,1,pq
30,abc,1,pq
300,abc,1,pq
301,abc,1,pq
302,abc,1,pq
303,abc,1,pq
304,abc,1,pq
305,abc,1,pq
306,abc,1,pq
307,abc,1,pq
308,abc,1,pq
309,abc,1,pq
31,abc,1,pq
310,abc,1,pq
311,abc,1,pq
312,abc,1,pq
313,abc,1,pq
314,abc,1,pq
315,abc,1,pq
316,abc,1,pq
317,abc,1,pq
318,abc,1,pq
319,abc,1,pq
32,abc,1,pq
320,abc,1,pq
321,abc,1,pq
322,abc,1,pq
323,abc,1,pq
324,abc,1,pq
325,abc,1,pq
326,abc,1,pq
327,abc,1,pq
328,abc,1,pq
329,abc,1,pq
33,abc,1,pq
