bus_id,phase,scenario,p_pu,q_pu
178,b,h001,-0.018375,-0.006
208,c,h001,-0.01125,-0.00375
225,a,h001,-0.0085,-0.00275
248,b,h001,-0.00675,-0.00225
249,b,h001,-0.002875,-0.001
264,c,h001,-0.00275,-0.000875
276,b,h001,-0.0115,-0.00375
289,a,h001,-0.003125,-0.001
314,b,h001,-0.003875,-0.00125
320,c,h001,-0.011,-0.003625
327,c,h001,-0.003375,-0.001125
337,c,h001,-0.014,-0.004625
34,a,h001,-0.0035,-0.001125
342,c,h001,-0.012,-0.004
349,a,h001,-0.00775,-0.0025
387,a,h001,-0.003875,-0.00125
388,a,h001,-0.00225,-0.00075
406,b,h001,-0.011875,-0.003875
458,c,h001,-0.011375,-0.00375
47,b,h001,-0.0045,-0.0015
502,a,h001,-0.004125,-0.001375
522,b,h001,-0.015875,-0.00525
539,c,h001,-0.010125,-0.003375
556,c,h001,-0.001,-0.000375
562,a,h001,-0.013125,-0.004375
563,a,h001,-0.00375,-0.00125
611,a,h001,-0.010375,-0.003375
614,c,h001,-0.007125,-0.002375
619,c,h001,-0.01225,-0.004
629,a,h001,-0.01075,-0.0035
639,b,h001,-0.013125,-0.004375
676,b,h001,-0.003375,-0.001125
682,b,h001,-0.00625,-0.002
688,b,h001,-0.01525,-0.005
70,a,h001,-0.010375,-0.003375
701,c,h001,-0.003875,-0.00125
702,b,h001,-0.004375,-0.0015
73,a,h001,-0.0065,-0.002125
74,a,h001,-0.00425,-0.001375
755,b,h001,-0.00275,-0.000875
778,c,h001,-0.006375,-0.002125
780,c,h001,-0.002875,-0.001
785,b,h001,-0.0035,-0.001125
813,b,h001,-0.01525,-0.005
817,a,h001,-0.00975,-0.00325
83,b,h001,-0.003,-0.001
835,c,h001,-0.002125,-0.00075
860,a,h001,-0.011125,-0.003625
861,a,h001,-0.004375,-0.0015
886,b,h001,-0.00375,-0.00125
896,a,h001,-0.0045,-0.0015
898,a,h001,-0.010375,-0.003375
899,b,h001,-0.0135,-0.004375
900,a,h001,-0.004125,-0.001375
906,a,h001,-0.003625,-0.00125
