bus_id,phase,scenario,p_pu,q_pu
Sourcebus,a,h001,0,0
Sourcebus,b,h001,0,0
Sourcebus,c,h001,0,0
1,a,h001,0,0
1,b,h001,0,0
1,c,h001,0,0
101,a,h001,0,0
101,b,h001,0,0
101,c,h001,0,0
104,a,h001,0,0
104,b,h001,0,0
104,c,h001,0,0
111,a,h001,0,0
111,b,h001,0,0
111,c,h001,0,0
114,a,h001,0,0
114,b,h001,0,0
114,c,h001,0,0
117,a,h001,0,0
117,b,h001,0,0
117,c,h001,0,0
118,a,h001,0,0
118,b,h001,0,0
118,c,h001,0,0
12,a,h001,0,0
12,b,h001,0,0
12,c,h001,0,0
123,a,h001,0,0
123,b,h001,0,0
123,c,h001,0,0
124,a,h001,0,0
124,b,h001,0,0
124,c,h001,0,0
127,a,h001,0,0
127,b,h001,0,0
127,c,h001,0,0
128,a,h001,0,0
128,b,h001,0,0
128,c,h001,0,0
140,a,h001,0,0
140,b,h001,0,0
140,c,h001,0,0
145,a,h001,0,0
145,b,h001,0,0
145,c,h001,0,0
146,a,h001,0,0
146,b,h001,0,0
146,c,h001,0,0
15,a,h001,0,0
15,b,h001,0,0
15,c,h001,0,0
152,a,h001,0,0
152,b,h001,0,0
152,c,h001,0,0
155,a,h001,0,0
155,b,h001,0,0
155,c,h001,0,0
162,a,h001,0,0
162,b,h001,0,0
162,c,h001,0,0
166,a,h001,0,0
166,b,h001,0,0
166,c,h001,0,0
168,a,h001,0,0
168,b,h001,0,0
168,c,h001,0,0
17,a,h001,0,0
17,b,h001,0,0
17,c,h001,0,0
171,a,h001,0,0
171,b,h001,0,0
171,c,h001,0,0
175,a,h001,0,0
175,b,h001,0,0
175,c,h001,0,0
178,a,h001,0,0
178,b,h001,-0.018374999999999999,-0.0060000000000000001
178,c,h001,0,0
186,a,h001,0,0
186,b,h001,0,0
186,c,h001,0,0
188,a,h001,0,0
188,b,h001,0,0
188,c,h001,-0.0027499999999999998,-0.00087500000000000002
189,a,h001,0,0
189,b,h001,0,0
189,c,h001,0,0
196,a,h001,0,0
196,b,h001,0,0
196,c,h001,0,0
197,a,h001,0,0
197,b,h001,0,0
197,c,h001,-0.01125,-0.0037499999999999999
2,a,h001,0,0
2,b,h001,0,0
2,c,h001,0,0
211,a,h001,-0.0031250000000000002,-0.001
211,b,h001,0,0
211,c,h001,0,0
212,a,h001,0,0
212,b,h001,0,0
212,c,h001,0,0
215,a,h001,0,0
215,b,h001,0,0
215,c,h001,0,0
216,a,h001,-0.0085000000000000006,-0.0027499999999999998
216,b,h001,0,0
216,c,h001,0,0
224,a,h001,0,0
224,b,h001,0,0
224,c,h001,0,0
23,a,h001,0,0
23,b,h001,0,0
23,c,h001,0,0
233,a,h001,0,0
233,b,h001,-0.0096249999999999999,-0.0032499999999999999
233,c,h001,0,0
246,a,h001,0,0
246,b,h001,-0.003875,-0.00125
246,c,h001,0,0
247,a,h001,0,0
247,b,h001,0,0
247,c,h001,0,0
25,a,h001,0,0
25,b,h001,0,0
25,c,h001,0,0
253,a,h001,0,0
253,b,h001,0,0
253,c,h001,-0.003375,-0.0011249999999999999
263,a,h001,0,0
263,b,h001,0,0
263,c,h001,0,0
268,a,h001,0,0
268,b,h001,-0.0115,-0.0037499999999999999
268,c,h001,0,0
27,a,h001,-0.0035000000000000001,-0.0011249999999999999
27,b,h001,0,0
27,c,h001,0,0
271,a,h001,0,0
271,b,h001,0,0
271,c,h001,0,0
28,a,h001,0,0
28,b,h001,0,0
28,c,h001,0,0
280,a,h001,0,0
280,b,h001,0,0
280,c,h001,0,0
29,a,h001,0,0
29,b,h001,0,0
29,c,h001,0,0
296,a,h001,0,0
296,b,h001,0,0
296,c,h001,0,0
297,a,h001,0,0
297,b,h001,0,0
297,c,h001,0,0
303,a,h001,0,0
303,b,h001,0,0
303,c,h001,0,0
304,a,h001,0,0
304,b,h001,0,0
304,c,h001,0,0
310,a,h001,0,0
310,b,h001,0,0
310,c,h001,0,0
312,a,h001,0,0
312,b,h001,0,0
312,c,h001,-0.010999999999999999,-0.0036250000000000002
318,a,h001,0,0
318,b,h001,0,0
318,c,h001,0,0
32,a,h001,0,0
32,b,h001,0,0
32,c,h001,0,0
325,a,h001,0,0
325,b,h001,0,0
325,c,h001,0,0
328,a,h001,-0.003875,-0.00125
328,b,h001,0,0
328,c,h001,0,0
331,a,h001,0,0
331,b,h001,0,0
331,c,h001,-0.014,-0.0046249999999999998
332,a,h001,0,0
332,b,h001,0,0
332,c,h001,0,0
335,a,h001,0,0
335,b,h001,0,0
335,c,h001,-0.012,-0.0040000000000000001
336,a,h001,-0.01,-0.0032500000000000003
336,b,h001,0,0
336,c,h001,0,0
338,a,h001,0,0
338,b,h001,0,0
338,c,h001,0,0
352,a,h001,0,0
352,b,h001,0,0
352,c,h001,0,0
36,a,h001,0,0
36,b,h001,-0.0074999999999999997,-0.0025000000000000001
36,c,h001,0,0
367,a,h001,0,0
367,b,h001,0,0
367,c,h001,0,0
37,a,h001,0,0
37,b,h001,0,0
37,c,h001,0,0
373,a,h001,0,0
373,b,h001,0,0
373,c,h001,0,0
378,a,h001,0,0
378,b,h001,0,0
378,c,h001,0,0
379,a,h001,0,0
379,b,h001,0,0
379,c,h001,0,0
383,a,h001,0,0
383,b,h001,0,0
383,c,h001,0,0
384,a,h001,0,0
384,b,h001,0,0
384,c,h001,0,0
385,a,h001,0,0
385,b,h001,0,0
385,c,h001,0,0
391,a,h001,0,0
391,b,h001,0,0
391,c,h001,0,0
392,a,h001,0,0
392,b,h001,0,0
392,c,h001,0,0
394,a,h001,0,0
394,b,h001,-0.011875,-0.003875
394,c,h001,0,0
396,a,h001,0,0
396,b,h001,0,0
396,c,h001,0,0
397,a,h001,0,0
397,b,h001,0,0
397,c,h001,0,0
401,a,h001,0,0
401,b,h001,0,0
401,c,h001,0,0
403,a,h001,0,0
403,b,h001,0,0
403,c,h001,0,0
409,a,h001,0,0
409,b,h001,0,0
409,c,h001,0,0
415,a,h001,0,0
415,b,h001,0,0
415,c,h001,0,0
419,a,h001,0,0
419,b,h001,0,0
419,c,h001,0,0
42,a,h001,0,0
42,b,h001,0,0
42,c,h001,0,0
432,a,h001,0,0
432,b,h001,0,0
432,c,h001,0,0
439,a,h001,0,0
439,b,h001,0,0
439,c,h001,0,0
442,a,h001,0,0
442,b,h001,0,0
442,c,h001,0,0
446,a,h001,0,0
446,b,h001,0,0
446,c,h001,0,0
452,a,h001,0,0
452,b,h001,0,0
452,c,h001,0,0
453,a,h001,0,0
453,b,h001,0,0
453,c,h001,0,0
458,a,h001,0,0
458,b,h001,0,0
458,c,h001,-0.011375,-0.0037499999999999999
460,a,h001,0,0
460,b,h001,0,0
460,c,h001,0,0
462,a,h001,0,0
462,b,h001,0,0
462,c,h001,0,0
467,a,h001,0,0
467,b,h001,0,0
467,c,h001,0,0
471,a,h001,0,0
471,b,h001,0,0
471,c,h001,-0.001,-0.00037500000000000001
475,a,h001,0,0
475,b,h001,0,0
475,c,h001,0,0
48,a,h001,0,0
48,b,h001,0,0
48,c,h001,0,0
480,a,h001,0,0
480,b,h001,0,0
480,c,h001,0,0
482,a,h001,0,0
482,b,h001,0,0
482,c,h001,0,0
484,a,h001,-0.0078750000000000001,-0.0026249999999999997
484,b,h001,0,0
484,c,h001,0,0
490,a,h001,0,0
490,b,h001,0,0
490,c,h001,0,0
505,a,h001,0,0
505,b,h001,0,0
505,c,h001,0,0
508,a,h001,0,0
508,b,h001,0,0
508,c,h001,0,0
513,a,h001,0,0
513,b,h001,0,0
513,c,h001,0,0
518,a,h001,0,0
518,b,h001,0,0
518,c,h001,0,0
522,a,h001,0,0
522,b,h001,-0.015875,-0.0052500000000000003
522,c,h001,0,0
525,a,h001,0,0
525,b,h001,0,0
525,c,h001,0,0
527,a,h001,0,0
527,b,h001,0,0
527,c,h001,0,0
539,a,h001,0,0
539,b,h001,0,0
539,c,h001,-0.010125,-0.003375
542,a,h001,0,0
542,b,h001,0,0
542,c,h001,0,0
544,a,h001,0,0
544,b,h001,0,0
544,c,h001,0,0
546,a,h001,-0.010749999999999999,-0.0035000000000000001
546,b,h001,0,0
546,c,h001,0,0
553,a,h001,-0.013125,-0.0043750000000000004
553,b,h001,0,0
553,c,h001,0,0
557,a,h001,0,0
557,b,h001,0,0
557,c,h001,0,0
559,a,h001,0,0
559,b,h001,0,0
559,c,h001,0,0
573,a,h001,0,0
573,b,h001,0,0
573,c,h001,0,0
578,a,h001,0,0
578,b,h001,0,0
578,c,h001,0,0
587,a,h001,0,0
587,b,h001,0,0
587,c,h001,0,0
59,a,h001,0,0
59,b,h001,0,0
59,c,h001,0,0
594,a,h001,0,0
594,b,h001,0,0
594,c,h001,0,0
598,a,h001,0,0
598,b,h001,0,0
598,c,h001,0,0
602,a,h001,0,0
602,b,h001,0,0
602,c,h001,-0.0071250000000000003,-0.0023749999999999999
603,a,h001,0,0
603,b,h001,0,0
603,c,h001,0,0
604,a,h001,0,0
604,b,h001,0,0
604,c,h001,0,0
607,a,h001,0,0
607,b,h001,0,0
607,c,h001,-0.01225,-0.0040000000000000001
611,a,h001,-0.010375000000000001,-0.003375
611,b,h001,0,0
611,c,h001,0,0
615,a,h001,0,0
615,b,h001,0,0
615,c,h001,0,0
616,a,h001,0,0
616,b,h001,0,0
616,c,h001,0,0
620,a,h001,0,0
620,b,h001,0,0
620,c,h001,0,0
624,a,h001,0,0
624,b,h001,0,0
624,c,h001,0,0
626,a,h001,0,0
626,b,h001,0,0
626,c,h001,0,0
639,a,h001,0,0
639,b,h001,-0.013125,-0.0043750000000000004
639,c,h001,0,0
646,a,h001,0,0
646,b,h001,-0.0096249999999999999,-0.0031250000000000002
646,c,h001,0,0
652,a,h001,0,0
652,b,h001,0,0
652,c,h001,0,0
66,a,h001,-0.010749999999999999,-0.0035000000000000001
66,b,h001,0,0
66,c,h001,0,0
665,a,h001,0,0
665,b,h001,0,0
665,c,h001,0,0
666,a,h001,0,0
666,b,h001,0,0
666,c,h001,0,0
680,a,h001,0,0
680,b,h001,0,0
680,c,h001,0,0
686,a,h001,0,0
686,b,h001,0,0
686,c,h001,0,0
688,a,h001,0,0
688,b,h001,-0.01525,-0.0050000000000000001
688,c,h001,0,0
690,a,h001,0,0
690,b,h001,0,0
690,c,h001,-0.003875,-0.00125
691,a,h001,0,0
691,b,h001,0,0
691,c,h001,0,0
7,a,h001,0,0
7,b,h001,0,0
7,c,h001,0,0
70,a,h001,-0.010375000000000001,-0.003375
70,b,h001,0,0
70,c,h001,0,0
702,a,h001,0,0
702,b,h001,-0.0043750000000000004,-0.0015
702,c,h001,0,0
703,a,h001,0,0
703,b,h001,0,0
703,c,h001,0,0
705,a,h001,0,0
705,b,h001,0,0
705,c,h001,0,0
707,a,h001,0,0
