bus_id,phases,base_kv,type
Sourcebus,abc,1,slack
1,abc,1,pq
101,abc,1,pq
104,abc,1,pq
111,abc,1,pq
114,abc,1,pq
117,abc,1,pq
123,abc,1,pq
124,abc,1,pq
127,abc,1,pq
140,abc,1,pq
145,abc,1,pq
15,abc,1,pq
155,abc,1,pq
162,abc,1,pq
163,abc,1,pq
166,abc,1,pq
17,abc,1,pq
188,abc,1,pq
189,abc,1,pq
205,abc,1,pq
211,abc,1,pq
212,abc,1,pq
239,abc,1,pq
247,abc,1,pq
25,abc,1,pq
253,abc,1,pq
263,abc,1,pq
271,abc,1,pq
28,abc,1,pq
280,abc,1,pq
29,abc,1,pq
304,abc,1,pq
310,abc,1,pq
32,abc,1,pq
325,abc,1,pq
328,abc,1,pq
332,abc,1,pq
336,abc,1,pq
351,abc,1,pq
352,abc,1,pq
37,abc,1,pq
373,abc,1,pq
379,abc,1,pq
391,abc,1,pq
396,abc,1,pq
403,abc,1,pq
413,abc,1,pq
415,abc,1,pq
42,abc,1,pq
437,abc,1,pq
439,abc,1,pq
452,abc,1,pq
453,abc,1,pq
471,abc,1,pq
475,abc,1,pq
48,abc,1,pq
480,abc,1,pq
487,abc,1,pq
505,abc,1,pq
508,abc,1,pq
527,abc,1,pq
546,abc,1,pq
559,abc,1,pq
573,abc,1,pq
578,abc,1,pq
59,abc,1,pq
615,abc,1,pq
616,abc,1,pq
631,abc,1,pq
635,abc,1,pq
652,abc,1,pq
655,abc,1,pq
666,abc,1,pq
686,abc,1,pq
691,abc,1,pq
7,abc,1,pq
703,abc,1,pq
705,abc,1,pq
707,abc,1,pq
715,abc,1,pq
718,abc,1,pq
72,abc,1,pq
732,abc,1,pq
736,abc,1,pq
745,abc,1,pq
752,abc,1,pq
754,abc,1,pq
774,abc,1,pq
784,abc,1,pq
794,abc,1,pq
809,abc,1,pq
816,abc,1,pq
819,abc,1,pq
853,abc,1,pq
856,abc,1,pq
878,abc,1,pq
88,abc,1,pq
91,abc,1,pq
96,abc,1,pq
