bus_id,phases,base_kv,type
sourcebus,abc,1.0,slack
1,abc,1.0,pq
2,abc,1.0,pq
3,abc,1.0,pq
4,abc,1.0,pq
5,abc,1.0,pq
6,abc,1.0,pq
7,abc,1.0,pq
8,abc,1.0,pq
9,abc,1.0,pq
10,abc,1.0,pq
11,abc,1.0,pq
12,abc,1.0,pq
13,abc,1.0,pq
14,abc,1.0,pq
15,abc,1.0,pq
16,abc,1.0,pq
17,abc,1.0,pq
18,abc,1.0,pq
19,abc,1.0,pq
20,abc,1.0,pq
21,abc,1.0,pq
22,abc,1.0,pq
23,abc,1.0,pq
24,abc,1.0,pq
25,abc,1.0,pq
26,abc,1.0,pq
27,abc,1.0,pq
28,abc,1.0,pq
29,abc,1.0,pq
30,abc,1.0,pq
31,abc,1.0,pq
32,abc,1.0,pq
33,abc,1.0,pq
34,abc,1.0,pq
35,abc,1.0,pq
36,abc,1.0,pq
37,abc,1.0,pq
38,abc,1.0,pq
39,abc,1.0,pq
40,abc,1.0,pq
41,abc,1.0,pq
42,abc,1.0,pq
43,abc,1.0,pq
44,abc,1.0,pq
45,abc,1.0,pq
46,abc,1.0,pq
47,abc,1.0,pq
48,abc,1.0,pq
49,abc,1.0,pq
50,abc,1.0,pq
51,abc,1.0,pq
52,abc,1.0,pq
53,abc,1.0,pq
54,abc,1.0,pq
55,abc,1.0,pq
56,abc,1.0,pq
57,abc,1.0,pq
58,abc,1.0,pq
59,abc,1.0,pq
60,abc,1.0,pq
61,abc,1.0,pq
62,abc,1.0,pq
63,abc,1.0,pq
64,abc,1.0,pq
65,abc,1.0,pq
66,abc,1.0,pq
67,abc,1.0,pq
68,abc,1.0,pq
69,abc,1.0,pq
70,abc,1.0,pq
71,abc,1.0,pq
72,abc,1.0,pq
73,abc,1.0,pq
74,abc,1.0,pq
75,abc,1.0,pq
76,abc,1.0,pq
77,abc,1.0,pq
78,abc,1.0,pq
79,abc,1.0,pq
80,abc,1.0,pq
81,abc,1.0,pq
82,abc,1.0,pq
83,abc,1.0,pq
84,abc,1.0,pq
85,abc,1.0,pq
86,abc,1.0,pq
87,abc,1.0,pq
88,abc,1.0,pq
89,abc,1.0,pq
90,abc,1.0,pq
91,abc,1.0,pq
92,abc,1.0,pq
93,abc,1.0,pq
94,abc,1.0,pq
95,abc,1.0,pq
96,abc,1.0,pq
97,abc,1.0,pq
98,abc,1.0,pq
99,abc,1.0,pq
100,abc,1.0,pq
101,abc,1.0,pq
102,abc,1.0,pq
103,abc,1.0,pq
104,abc,1.0,pq
105,abc,1.0,pq
106,abc,1.0,pq
107,abc,1.0,pq
108,abc,1.0,pq
109,abc,1.0,pq
110,abc,1.0,pq
111,abc,1.0,pq
112,abc,1.0,pq
113,abc,1.0,pq
114,abc,1.0,pq
115,abc,1.0,pq
116,abc,1.0,pq
117,abc,1.0,pq
118,abc,1.0,pq
119,abc,1.0,pq
120,abc,1.0,pq
121,abc,1.0,pq
122,abc,1.0,pq
123,abc,1.0,pq
124,abc,1.0,pq
125,abc,1.0,pq
126,abc,1.0,pq
127,abc,1.0,pq
128,abc,1.0,pq
129,abc,1.0,pq
130,abc,1.0,pq
131,abc,1.0,pq
132,abc,1.0,pq
133,abc,1.0,pq
134,abc,1.0,pq
135,abc,1.0,pq
136,abc,1.0,pq
137,abc,1.0,pq
138,abc,1.0,pq
