bus_id,phase,scenario,p_pu,q_pu
1,a,h001,-0.008,-0.004
10,a,h001,-0.00408541268997538,-0.00191026304792711
100,c,h001,-0.00858935472532101,-0.00429467736266051
102,c,h001,-0.004,-0.002
103,c,h001,-0.008,-0.004
104,c,h001,-0.008,-0.004
106,b,h001,-0.008,-0.004
107,b,h001,-0.008,-0.004
109,a,h001,-0.008,-0.004
11,a,h001,-0.00813044042439318,-0.00406522021219659
111,a,h001,-0.004,-0.002
112,a,h001,-0.00425622409421834,-0.00175934324360781
113,a,h001,-0.00844986372398575,-0.00422493186199287
114,a,h001,-0.004,-0.002
12,b,h001,-0.004,-0.002
16,c,h001,-0.008,-0.004
17,c,h001,-0.004,-0.002
19,a,h001,-0.008,-0.004
2,b,h001,-0.004,-0.002
20,a,h001,-0.00815193332237124,-0.00366598268594682
22,b,h001,-0.00853648414874716,-0.00426824207437358
24,c,h001,-0.008,-0.004
28,a,h001,-0.0081632113614342,-0.00364583800083049
29,a,h001,-0.00799035432847979,-0.00399517716423989
30,c,h001,-0.008,-0.004
31,c,h001,-0.004,-0.002
32,c,h001,-0.004,-0.002
33,a,h001,-0.00815384290408295,-0.00363352961565517
34,c,h001,-0.00833596418650559,-0.0041679820932528
35,a,h001,-0.00509205994737817,0.000403883474200741
35,b,h001,-0.00290794005262183,-0.00440388347420074
37,a,h001,-0.00795202713208689,-0.00397601356604345
38,b,h001,-0.00417044244502345,-0.00196344130933557
39,b,h001,-0.004,-0.002
4,c,h001,-0.008,-0.004
41,c,h001,-0.004,-0.002
42,a,h001,-0.004,-0.002
43,b,h001,-0.00845768265497321,-0.0042288413274866
45,a,h001,-0.00405926566634535,-0.00181228259936852
46,a,h001,-0.004,-0.002
47,a,h001,-0.00716615224723944,-0.00465735241247759
47,b,h001,-0.00732226451965124,-0.00495522537951318
47,c,h001,-0.00718535153071004,-0.00487629434869801
48,a,h001,-0.0138115601967872,-0.00986540014056225
48,b,h001,-0.0147805549367911,-0.0105575392405651
48,c,h001,-0.0142600358541705,-0.0101857398958361
49,a,h001,-0.007,-0.005
49,b,h001,-0.014,-0.01
49,c,h001,-0.007,-0.004
5,c,h001,-0.00415130287656285,-0.0020364296014742
50,c,h001,-0.008,-0.004
51,a,h001,-0.004,-0.002
52,a,h001,-0.008,-0.004
53,a,h001,-0.008,-0.004
55,a,h001,-0.00400018172504533,-0.00200009086252266
56,b,h001,-0.004,-0.002
58,b,h001,-0.0041871739665265,-0.00194765175021045
59,b,h001,-0.004,-0.002
6,c,h001,-0.0085409071983484,-0.0042704535991742
60,a,h001,-0.004,-0.002
62,c,h001,-0.00808727269119429,-0.00404363634559714
63,a,h001,-0.008,-0.004
64,b,h001,-0.0156015101620279,-0.0066463256273313
65,a,h001,-0.00901892517974129,-0.00925722365058259
65,b,h001,-0.00721345196523696,-0.00517828761682298
65,c,h001,-0.0119304687928383,-0.00568080725960622
66,c,h001,-0.015,-0.007
68,a,h001,-0.004,-0.002
69,a,h001,-0.008,-0.004
7,a,h001,-0.004,-0.002
70,a,h001,-0.004,-0.002
71,a,h001,-0.008,-0.004
73,c,h001,-0.008,-0.004
74,c,h001,-0.00854814697918452,-0.00427407348959226
75,c,h001,-0.008,-0.004
76,a,h001,-0.0207666537896315,-0.0100341779311355
76,b,h001,-0.0169135995601623,-0.0148186041044398
76,c,h001,-0.0149790374208618,-0.00973406334805346
77,b,h001,-0.008,-0.004
79,a,h001,-0.00869693828188133,-0.00434846914094066
80,b,h001,-0.008,-0.004
82,a,h001,-0.008,-0.004
83,c,h001,-0.004,-0.002
84,c,h001,-0.004,-0.002
85,c,h001,-0.008,-0.004
86,b,h001,-0.004,-0.002
87,b,h001,-0.008,-0.004
88,a,h001,-0.008,-0.004
9,a,h001,-0.008,-0.004
90,b,h001,-0.00842494980459733,-0.0037219469564682
92,c,h001,-0.008,-0.004
94,a,h001,-0.008,-0.004
95,b,h001,-0.004,-0.002
96,b,h001,-0.004,-0.002
98,a,h001,-0.008,-0.004
99,b,h001,-0.008,-0.004
