bus_id,super_node,kept
150,150,1
1,1,1
10,14,0
100,97,0
101,101,1
102,102,1
103,103,1
104,103,0
105,105,1
106,105,0
107,107,1
108,105,0
109,109,1
11,14,0
110,110,1
111,110,0
112,110,0
113,113,1
114,113,0
12,8,0
13,13,1
135,135,1
14,14,1
149,149,1
15,34,0
151,47,0
152,152,1
16,34,0
160,160,1
17,34,0
18,18,1
19,18,0
197,197,1
2,1,0
20,20,1
21,18,0
22,18,0
23,23,1
24,23,0
25,23,0
250,23,0
26,26,1
27,26,0
28,23,0
29,23,0
3,3,1
30,23,0
300,105,0
31,26,0
32,26,0
33,33,1
34,34,1
35,35,1
36,35,0
37,35,0
38,35,0
39,35,0
4,3,0
40,35,0
41,35,0
42,42,1
43,42,0
44,42,0
45,42,0
450,97,0
46,42,0
47,47,1
48,47,0
49,47,0
5,3,0
50,47,0
51,47,0
52,52,1
53,53,1
54,53,0
55,53,0
56,53,0
57,57,1
58,57,0
59,57,0
6,3,0
60,60,1
61,61,1
610,610,1
61s,61s,1
62,62,1
63,62,0
64,64,1
65,65,1
66,65,0
67,67,1
68,67,0
69,69,1
7,7,1
70,69,0
71,71,1
72,72,1
73,73,1
74,73,0
75,75,1
76,76,1
77,76,0
78,78,1
79,78,0
8,8,1
80,78,0
81,81,1
82,81,0
83,83,1
84,81,0
85,85,1
86,76,0
87,87,1
88,87,0
89,87,0
9,8,0
90,87,0
91,87,0
92,87,0
93,87,0
94,87,0
95,87,0
96,87,0
97,97,1
98,97,0
99,97,0
