bus_id,phase,scenario,v_re_pu,v_im_pu
150,a,h001,1,0
150,b,h001,-0.5,-0.86602540378443904
150,c,h001,-0.5,0.86602540378443904
1,a,h001,1.0333391943913,-0.011660198070547899
1,b,h001,-0.52661453975841799,-0.90074760889374506
1,c,h001,-0.51249630103756405,0.90137724176896095
101,a,h001,1.0369457730659699,-0.070073219429142394
101,b,h001,-0.55088749201457099,-0.87406645925482496
101,c,h001,-0.48057565197199897,0.91845947051231702
102,c,h001,-0.479480179550969,0.91741569629791997
103,c,h001,-0.47821388016877903,0.91620874577849198
105,a,h001,1.03558634343119,-0.070719608686305904
105,b,h001,-0.55147340958048496,-0.87351717062088796
105,c,h001,-0.48116291138162998,0.91845669703190402
107,b,h001,-0.55082918599737196,-0.87082968149458695
109,a,h001,1.0298599105862101,-0.0730069411192453
110,a,h001,1.0278524588358899,-0.073564376996704497
113,a,h001,1.02504167624817,-0.0743137097214491
13,a,h001,1.00981818555631,-0.033036799574002101
13,b,h001,-0.53425327328636096,-0.89047397067480205
13,c,h001,-0.49405997605446,0.89437620411380103
135,a,h001,1.0006710120183799,-0.040285450660825499
135,b,h001,-0.53596190903602503,-0.88466679873740295
135,c,h001,-0.48936541441940601,0.88842145956610696
14,a,h001,1.00843764287909,-0.026376546719097501
149,a,h001,1.0457480565346899,-9.2870263785148808e-06
149,b,h001,-0.52288006834680201,-0.90564260970678601
149,c,h001,-0.52286804737730896,0.90564909447105901
152,a,h001,1.0098181701478199,-0.033036815709831899
152,b,h001,-0.53425328126015903,-0.89047396244215904
152,c,h001,-0.49405996258712498,0.89437620237954796
160,a,h001,0.98891590116132799,-0.060865332245065601
160,b,h001,-0.54502104763765702,-0.87206935863051205
160,c,h001,-0.46967251233438601,0.891310252141432
18,a,h001,1.00067101993362,-0.040285447540684097
18,b,h001,-0.535961908005682,-0.88466680593755398
18,c,h001,-0.48936541860476601,0.88842146142016298
197,a,h001,1.0378029707927201,-0.069351785175829794
197,b,h001,-0.55080279801337495,-0.87443498204069603
197,c,h001,-0.480979884267625,0.91886024060657201
20,a,h001,0.998492466534465,-0.040998397523879897
23,a,h001,0.99967480077281901,-0.042144876461993802
23,b,h001,-0.53591764862521096,-0.88521162074373805
23,c,h001,-0.48766797553666102,0.88670580937273702
26,a,h001,0.99873586906063005,-0.043584026776333898
26,c,h001,-0.48381590392228302,0.88006212033652098
3,c,h001,-0.51119595546638597,0.90022604975881604
33,a,h001,0.99706077119105396,-0.044339183638630299
34,c,h001,-0.49329148485554702,0.89367725398054498
35,a,h001,0.99785248157683504,-0.0416873434480141
35,b,h001,-0.53596723240556599,-0.88170015904858301
35,c,h001,-0.48789439219422898,0.88801976981145103
42,a,h001,0.99471832602300603,-0.042814033652110103
42,b,h001,-0.53627751584266903,-0.87886272249142605
42,c,h001,-0.48569468844242403,0.88702522855479804
47,a,h001,0.99256524044681105,-0.043639112822352603
47,b,h001,-0.53625496328174205,-0.87680070865647397
47,c,h001,-0.48360736353742501,0.886083800579202
52,a,h001,1.00365476099436,-0.0394911412710926
52,b,h001,-0.53744278851723404,-0.88718089864632899
52,c,h001,-0.48867302796620798,0.89368248720744603
53,a,h001,1.0008421860455901,-0.042506652203503199
53,b,h001,-0.538926868252947,-0.88542783319934604
53,c,h001,-0.48588599626908402,0.89341258122485401
57,a,h001,0.99593720565669996,-0.049402671883968997
57,b,h001,-0.54151854744879202,-0.87998683508386299
57,c,h001,-0.47954743730030203,0.89283613462761702
60,a,h001,0.988915910408525,-0.060865318771992999
60,b,h001,-0.54502104112647098,-0.87206936320140604
60,c,h001,-0.46967252218111899,0.89131025216688398
61,a,h001,0.98891592073692303,-0.0608653486219186
61,b,h001,-0.54502107692694002,-0.87206935927625695
61,c,h001,-0.469672502157503,0.891310279157153
610,a,h001,0.99321196484145702,-0.053928385812683402
610,b,h001,-0.54072507585707996,-0.865131529921493
610,c,h001,-0.465375718129664,0.89824770136016396
61s,a,h001,0.98891592073690004,-0.0608653486219509
