row,col,g,b
1,1,75.283204580691802,-33154.616144732798
2,1,25.2619970418896,82.798738098797998
3,1,24.9216693694238,63.4749891939517
26,1,-71.989564381074203,31704.1016883999
27,1,-24.156784670660301,-79.176293307449697
28,1,-23.831346334540299,-60.697958416771101
1,2,25.2619970418877,82.798738098802801
2,2,76.778321620394607,-33159.551842671899
3,2,25.642454870026501,69.891442011639896
26,2,-24.1567846713588,-79.176293306518303
27,2,-73.419270051177605,31708.8214495555
28,2,-24.5205974696437,-66.833691423991695
1,3,24.921669369423501,63.474989193952197
2,3,25.6424548700294,69.891442011643207
3,3,75.954692041101197,-33156.6819075737
26,3,-23.8313463346567,-60.697958416771101
27,3,-24.520597469760101,-66.833691423293203
28,3,-72.631674264557702,31706.077074117999
4,4,17.290522865022702,-35.852477546646099
5,4,-8.3987076733158403,12.307236982893601
6,4,-3.0306826744253899,7.9942845420856603
26,4,-7.4102240850097401,15.365347706042799
27,4,3.5994461457067901,-5.2745301955677597
28,4,1.2988640033251699,-3.4261219694921801
93,4,-9.8802987800129891,20.4871302747237
94,4,4.7992615276090502,-7.0327069274236704
95,4,1.7318186711002199,-4.5681626259895696
4,5,-8.3987076733158403,12.307236982893601
5,5,19.334741232383713,-37.152480907172404
6,5,-5.1445595065962602,9.7570263734012297
11,5,9.9283960578256466e-16,-1.9770471859451119e-15
12,5,3.8934666224326999e-15,-3.6491361502929883e-15
13,5,-6.4882654738176293e-15,2.5474301051593843e-15
14,5,-1.4788746088183174e-15,-3.9038608330224166e-15
15,5,-3.5045809413359348e-17,-4.7665771551989972e-17
16,5,1.1385488043818616e-15,-1.607128133571956e-15
17,5,3.5084524171890042e-15,-2.2744168007711208e-15
18,5,-5.1179740109408901e-15,9.9510055128373964e-17
25,5,3.1332531350045446e-16,-2.4437792144065192e-16
26,5,3.5994461457067901,-5.2745301955677597
27,5,-8.2863176710215605,15.9224920874498
28,5,2.2048112171126801,-4.1815827696250398
35,5,1.6000251201737632e-15,2.6041332363270863e-15
36,5,-1.4355560093311435e-15,2.1699757531019874e-15
37,5,-3.1661582617365358e-15,1.4189981485533276e-15
41,5,8.1353836286366754e-16,2.2777108328446525e-15
42,5,8.4874352436273994e-16,-2.7367338118541918e-15
43,5,-7.4870712003056585e-15,2.2155900738266792e-15
44,5,1.292910595310885e-15,-8.4897646787101604e-15
45,5,-4.5268765998482024e-15,-1.5358220970993212e-15
46,5,5.5106277578307128e-15,-3.3421805022203375e-15
47,5,4.4861855108404649e-16,4.6958627843051644e-16
48,5,-1.1646644742758317e-15,2.9245443935607852e-16
49,5,-8.2373887571212838e-15,1.386747023956546e-14
50,5,1.3941314923292891e-15,-2.5922146467391527e-15
51,5,2.0606657004380793e-15,2.4598658875193541e-15
52,5,-7.6619615024192146e-16,-2.9754388498498664e-16
53,5,3.7481824220828803e-16,3.1973632296064404e-17
54,5,-3.5119467834348325e-16,-9.1908718222905273e-16
55,5,-2.992820915822107e-16,1.0645296880663686e-16
56,5,-2.448159881802755e-15,4.5684127745258054e-15
57,5,1.2083601788390617e-14,-6.8080778396079215e-15
58,5,6.900148404980253e-16,7.0865587665105305e-16
62,5,-4.9939797413755173e-26,4.0995326672521262e-26
63,5,-8.4767102903038915e-26,-2.0556543452243506e-25
64,5,2.6058589422625981e-25,-7.1763279852284332e-26
65,5,-2.0014816826378493e-26,1.9179222710703134e-27
66,5,2.1915200857823714e-25,-6.948867755391358e-26
67,5,1.0062964835615204e-25,-1.4664636704207082e-26
80,5,1.0927551451312937e-25,5.5451470682139368e-26
81,5,-7.3652661254570747e-27,-5.7509744265949774e-26
82,5,4.1299706440907523e-26,2.2437655127369882e-26
83,5,5.4637757256564913e-26,2.7725735341069902e-26
84,5,-3.6826330627285309e-27,-2.8754872132974841e-26
85,5,2.0649853220453882e-26,1.1218827563685089e-26
86,5,2.4760212869508148e-40,7.3066588803031628e-41
87,5,-9.5154775723680007e-41,-8.1582635523294414e-41
88,5,-3.2106590461414319e-40,-5.7109568214776506e-41
89,5,-2.7077661762475492e-41,-7.5030093349812697e-44
92,5,-4.199432829670645e-41,-3.1882638440415308e-41
93,5,4.7992615276090502,-7.0327069274236802
94,5,-11.0484235613621,21.2299894499331
95,5,2.93974828948358,-5.5754436928333897
96,5,-2.6356298538277455e-41,-3.7614993117942208e-41
100,5,2.8827609410372097e-41,-4.5731023769815364e-41
101,5,2.5224158234075637e-41,-4.001464579858847e-41
102,5,-3.1768049738467587e-41,-6.7416074613175493e-42
103,5,3.3351205406067947e-42,-1.2560402493140747e-41
104,5,-9.8365470844324973e-42,-1.8426826417876773e-41
105,5,-3.6927733887870819e-41,9.6911651874153884e-41
106,5,-4.8731034779304284e-41,3.7751142823365071e-41
107,5,7.2927998447097564e-41,-2.0305456873166901e-41
108,5,1.7308862288153905e-41,-2.4224206309484175e-41
109,5,8.1741183877509275e-15,1.5192424986538076e-15
111,5,-2.7028714517395485e-41,-2.7638209254553574e-42
112,5,-1.59255776787124e-41,2.7766375697816212e-41
113,5,9.8929243297918434e-42,1.8530731512269723e-41
114,5,-6.2328503927253689e-42,-1.9668501662634523e-42
115,5,-5.6130382528685612e-42,7.4439774655677122e-42
116,5,-2.3239197966216384e-41,-1.4313962885324388e-41
117,5,3.3914314311016305e-41,5.3828141465948475e-42
118,5,4.9097203116775586e-41,-1.0750999037313398e-40
119,5,3.3199051444611809e-41,-6.1376008516134406e-41
120,5,-9.1463121213302199e-41,-1.7366115631512822e-41
121,5,1.0591643309334629e-15,-2.2070855785812851e-15
122,5,-1.4540370832272694e-15,5.1838660689990273e-15
123,5,-4.6100698765905637e-16,-2.7553928819409641e-15
4,6,-3.0306826744253899,7.9942845420856603
5,6,-5.1445595065962602,9.7570263734012297
6,6,24.574475558786801,-43.765737974428902
26,6,1.2988640033251699,-3.4261219694921801
27,6,2.2048112171126801,-4.1815827696250398
28,6,-6.6574404280809496,14.8289248394757
47,6,-9.0404478932645809,9.1649138851745597
93,6,1.7318186711002199,-4.5681626259895696
94,6,2.93974828948358,-5.5754436928333897
95,6,-8.8765872374412709,19.771899785967602
7,7,20.335454398501799,-45.295624654652102
8,7,-3.9674391374295999,10.465245248583599
9,7,-6.7346960813623804,12.772834574970901
12,7,-9.6835497135722903,21.569345221055599
13,7,1.8892567321093301,-4.9834501374431603
14,7,3.2069981339820899,-6.0823022103636903
38,7,-10.6519046849295,23.726279743161101
39,7,2.0781824053202702,-5.4817951511874803
40,7,3.5276979473802998,-6.6905324314000598
7,8,-3.9674391374295999,10.465245248583599
8,8,22.634866296029799,-46.934152667413102
9,8,-10.994671863249801,16.111292128660899
12,8,1.8892567321093301,-4.9834501374431603
13,8,-10.7785077600142,22.3495966633349
14,8,5.2355580301189599,-7.6720439208258302
38,8,2.0781824053202702,-5.4817951511874803
39,8,-11.8563585360156,24.584556329668398
40,8,5.7591138331308596,-8.4392483129084095
7,9,-6.7346960813623804,12.772834574970901
8,9,-10.994671863249801,16.111292128660899
9,9,35.355876080565899,-58.819213026807297
10,9,-10.044942103627299,10.183237650194
12,9,3.2069981339820899,-6.0823022103636903
13,9,5.2355580301189599,-7.6720439208258302
14,9,-12.0528257033041,23.159988490836099
