bus_id,phases,base_kv,type
sourcebus,abc,1.0,slack
799,abc,1.0,pq
709,abc,1.0,pq
775,abc,1.0,pq
701,abc,1.0,pq
702,abc,1.0,pq
705,abc,1.0,pq
713,abc,1.0,pq
703,abc,1.0,pq
727,abc,1.0,pq
730,abc,1.0,pq
704,abc,1.0,pq
714,abc,1.0,pq
720,abc,1.0,pq
742,abc,1.0,pq
712,abc,1.0,pq
706,abc,1.0,pq
725,abc,1.0,pq
707,abc,1.0,pq
724,abc,1.0,pq
722,abc,1.0,pq
708,abc,1.0,pq
733,abc,1.0,pq
732,abc,1.0,pq
731,abc,1.0,pq
710,abc,1.0,pq
735,abc,1.0,pq
736,abc,1.0,pq
711,abc,1.0,pq
741,abc,1.0,pq
740,abc,1.0,pq
718,abc,1.0,pq
744,abc,1.0,pq
734,abc,1.0,pq
737,abc,1.0,pq
738,abc,1.0,pq
728,abc,1.0,pq
729,abc,1.0,pq
799r,abc,1.0,pq
