transformer_id,winding,role,bus_id,bus_spec,connection,voltage_ratio,rated_s_pu,tap_pu,enabled
t21396254a,1,primary,l2804253,l2804253.1,wye,1,0.00054545,1,1
t21396254a,2,secondary_1,x2804253a,x2804253a.1.0,wye,0.01666667,0.00054545,1,1
t21396254a,3,secondary_2,x2804253a,x2804253a.0.2,wye,0.01666667,0.00054545,1,1
t5321859b,1,primary,l3254213,l3254213.2,wye,1,0.00090909,1,1
t5321859b,2,secondary_1,x3254213b,x3254213b.1.0,wye,0.01666667,0.00090909,1,1
t5321859b,3,secondary_2,x3254213b,x3254213b.0.2,wye,0.01666667,0.00090909,1,1
t5391741b,1,primary,l3216339,l3216339.2,wye,1,0.00090909,1,1
t5391741b,2,secondary_1,x3216339b,x3216339b.1.0,wye,0.01666667,0.00090909,1,1
t5391741b,3,secondary_2,x3216339b,x3216339b.0.2,wye,0.01666667,0.00090909,1,1
t5293672a,1,primary,l2954355,l2954355.1,wye,1,0.00054545,1,1
t5293672a,2,secondary_1,x2954355a,x2954355a.1.0,wye,0.01666667,0.00054545,1,1
t5293672a,3,secondary_2,x2954355a,x2954355a.0.2,wye,0.01666667,0.00054545,1,1
t21474711c,1,primary,l2861197,l2861197.3,wye,1,0.00054545,1,1
t21474711c,2,secondary_1,x2861197c,x2861197c.1.0,wye,0.01666667,0.00054545,1,1
t21474711c,3,secondary_2,x2861197c,x2861197c.0.2,wye,0.01666667,0.00054545,1,1
t5260488a,1,primary,l2842379,l2842379.1,wye,1,0.00136364,1,1
t5260488a,2,secondary_1,x2842379a,x2842379a.1.0,wye,0.01666667,0.00136364,1,1
t5260488a,3,secondary_2,x2842379a,x2842379a.0.2,wye,0.01666667,0.00136364,1,1
t5391758b,1,primary,l2841636,l2841636.2,wye,1,0.00054545,1,1
t5391758b,2,secondary_1,x2841636b,x2841636b.1.0,wye,0.01666667,0.00054545,1,1
t5391758b,3,secondary_2,x2841636b,x2841636b.0.2,wye,0.01666667,0.00054545,1,1
t228091193a,1,primary,l3047289,l3047289.1,wye,1,0.00181818,1,1
t228091193a,2,secondary_1,x3047289a,x3047289a.1.0,wye,0.01666667,0.00181818,1,1
t228091193a,3,secondary_2,x3047289a,x3047289a.0.2,wye,0.01666667,0.00181818,1,1
t228091193b,1,primary,l3047289,l3047289.2,wye,1,0.00181818,1,1
t228091193b,2,secondary_1,x3047289b,x3047289b.1.0,wye,0.01666667,0.00181818,1,1
t228091193b,3,secondary_2,x3047289b,x3047289b.0.2,wye,0.01666667,0.00181818,1,1
t228091193c,1,primary,l3047289,l3047289.3,wye,1,0.00181818,1,1
t228091193c,2,secondary_1,x3047289c,x3047289c.1.0,wye,0.01666667,0.00181818,1,1
t228091193c,3,secondary_2,x3047289c,x3047289c.0.2,wye,0.01666667,0.00181818,1,1
t5302862c,1,primary,l3085399,l3085399.3,wye,1,0.00054545,1,1
t5302862c,2,secondary_1,x3085399c,x3085399c.1.0,wye,0.01666667,0.00054545,1,1
t5302862c,3,secondary_2,x3085399c,x3085399c.0.2,wye,0.01666667,0.00054545,1,1
t21236413b,1,primary,l3085391,l3085391.2,wye,1,0.00181818,1,1
t21236413b,2,secondary_1,x3085391b,x3085391b.1.0,wye,0.01666667,0.00181818,1,1
t21236413b,3,secondary_2,x3085391b,x3085391b.0.2,wye,0.01666667,0.00181818,1,1
t5302468a,1,primary,l2897778,l2897778.1,wye,1,0.00036364,1,1
t5302468a,2,secondary_1,x2897778a,x2897778a.1.0,wye,0.01666667,0.00036364,1,1
t5302468a,3,secondary_2,x2897778a,x2897778a.0.2,wye,0.01666667,0.00036364,1,1
t5294787a,1,primary,l3197647,l3197647.1,wye,1,0.00036364,1,1
t5294787a,2,secondary_1,x3197647a,x3197647a.1.0,wye,0.01666667,0.00036364,1,1
t5294787a,3,secondary_2,x3197647a,x3197647a.0.2,wye,0.01666667,0.00036364,1,1
t5157715b,1,primary,l2936275,l2936275.2,wye,1,0.00036364,1,1
t5157715b,2,secondary_1,x2936275b,x2936275b.1.0,wye,0.01666667,0.00036364,1,1
t5157715b,3,secondary_2,x2936275b,x2936275b.0.2,wye,0.01666667,0.00036364,1,1
t5355768b,1,primary,l2729408,l2729408.2,wye,1,0.00090909,1,1
t5355768b,2,secondary_1,x2729408b,x2729408b.1.0,wye,0.01666667,0.00090909,1,1
t5355768b,3,secondary_2,x2729408b,x2729408b.0.2,wye,0.01666667,0.00090909,1,1
t5138562a,1,primary,l2673310,l2673310.1,wye,1,0.00090909,1,1
t5138562a,2,secondary_1,x2673310a,x2673310a.1.0,wye,0.01666667,0.00090909,1,1
t5138562a,3,secondary_2,x2673310a,x2673310a.0.2,wye,0.01666667,0.00090909,1,1
t5355934a,1,primary,l3048212,l3048212.1,wye,1,0.00036364,1,1
t5355934a,2,secondary_1,x3048212a,x3048212a.1.0,wye,0.01666667,0.00036364,1,1
t5355934a,3,secondary_2,x3048212a,x3048212a.0.2,wye,0.01666667,0.00036364,1,1
t5293483a,1,primary,l3104133,l3104133.1,wye,1,0.00090909,1,1
t5293483a,2,secondary_1,x3104133a,x3104133a.1.0,wye,0.01666667,0.00090909,1,1
t5293483a,3,secondary_2,x3104133a,x3104133a.0.2,wye,0.01666667,0.00090909,1,1
t21399762a,1,primary,l2879087,l2879087.1,wye,1,0.00054545,1,1
t21399762a,2,secondary_1,x2879087a,x2879087a.1.0,wye,0.01666667,0.00054545,1,1
t21399762a,3,secondary_2,x2879087a,x2879087a.0.2,wye,0.01666667,0.00054545,1,1
t5138650c,1,primary,l2710510,l2710510.3,wye,1,0.00036364,1,1
t5138650c,2,secondary_1,x2710510c,x2710510c.1.0,wye,0.01666667,0.00036364,1,1
t5138650c,3,secondary_2,x2710510c,x2710510c.0.2,wye,0.01666667,0.00036364,1,1
t5323242b,1,primary,l3122810,l3122810.2,wye,1,0.00090909,1,1
t5323242b,2,secondary_1,x3122810b,x3122810b.1.0,wye,0.01666667,0.00090909,1,1
t5323242b,3,secondary_2,x3122810b,x3122810b.0.2,wye,0.01666667,0.00090909,1,1
t28127090c,1,primary,l2954352,l2954352.3,wye,1,0.00090909,1,1
t28127090c,2,secondary_1,x2954352c,x2954352c.1.0,wye,0.01666667,0.00090909,1,1
t28127090c,3,secondary_2,x2954352c,x2954352c.0.2,wye,0.01666667,0.00090909,1,1
t5138769a,1,primary,l2729411,l2729411.1,wye,1,0.00036364,1,1
t5138769a,2,secondary_1,x2729411a,x2729411a.1.0,wye,0.01666667,0.00036364,1,1
t5138769a,3,secondary_2,x2729411a,x2729411a.0.2,wye,0.01666667,0.00036364,1,1
t5338896a,1,primary,l3178971,l3178971.1,wye,1,0.00054545,1,1
t5338896a,2,secondary_1,x3178971a,x3178971a.1.0,wye,0.01666667,0.00054545,1,1
t5338896a,3,secondary_2,x3178971a,x3178971a.0.2,wye,0.01666667,0.00054545,1,1
t5355586b,1,primary,l3254234,l3254234.2,wye,1,0.00090909,1,1
t5355586b,2,secondary_1,x3254234b,x3254234b.1.0,wye,0.01666667,0.00090909,1,1
t5355586b,3,secondary_2,x3254234b,x3254234b.0.2,wye,0.01666667,0.00090909,1,1
t5293471a,1,primary,293471,293471.1,wye,1,0.00090909,1,1
t5293471a,2,secondary_1,x_293471a,x_293471a.1.0,wye,0.01666667,0.00090909,1,1
t5293471a,3,secondary_2,x_293471a,x_293471a.0.2,wye,0.01666667,0.00090909,1,1
t5293471b,1,primary,293471,293471.2,wye,1,0.00090909,1,1
t5293471b,2,secondary_1,x_293471b,x_293471b.1.0,wye,0.01666667,0.00090909,1,1
t5293471b,3,secondary_2,x_293471b,x_293471b.0.2,wye,0.01666667,0.00090909,1,1
t5293471c,1,primary,293471,293471.3,wye,1,0.00090909,1,1
t5293471c,2,secondary_1,x_293471c,x_293471c.1.0,wye,0.01666667,0.00090909,1,1
t5293471c,3,secondary_2,x_293471c,x_293471c.0.2,wye,0.01666667,0.00090909,1,1
t5338954a,1,primary,l2860482,l2860482.1,wye,1,0.00090909,1,1
t5338954a,2,secondary_1,x2860482a,x2860482a.1.0,wye,0.01666667,0.00090909,1,1
t5338954a,3,secondary_2,x2860482a,x2860482a.0.2,wye,0.01666667,0.00090909,1,1
t21459629c,1,primary,l2763811,l2763811.3,wye,1,0.00272727,1,1
t21459629c,2,secondary_1,x2763811c,x2763811c.1.0,wye,0.01666667,0.00272727,1,1
t21459629c,3,secondary_2,x2763811c,x2763811c.0.2,wye,0.01666667,0.00272727,1,1
t5260562a,1,primary,l3251799,l3251799.1,wye,1,0.00136364,1,1
t5260562a,2,secondary_1,x3251799a,x3251799a.1.0,wye,0.01666667,0.00136364,1,1
t5260562a,3,secondary_2,x3251799a,x3251799a.0.2,wye,0.01666667,0.00136364,1,1
t21393486c,1,primary,l2898526,l2898526.3,wye,1,0.00054545,1,1
t21393486c,2,secondary_1,x2898526c,x2898526c.1.0,wye,0.01666667,0.00054545,1,1
t21393486c,3,secondary_2,x2898526c,x2898526c.0.2,wye,0.01666667,0.00054545,1,1
t5293518b,1,primary,l2897780,l2897780.2,wye,1,0.00090909,1,1
t5293518b,2,secondary_1,x2897780b,x2897780b.1.0,wye,0.01666667,0.00090909,1,1
t5293518b,3,secondary_2,x2897780b,x2897780b.0.2,wye,0.01666667,0.00090909,1,1
t226195194c,1,primary,l3027124,l3027124.3,wye,1,0.00090909,1,1
t226195194c,2,secondary_1,x3027124c,x3027124c.1.0,wye,0.01666667,0.00090909,1,1
t226195194c,3,secondary_2,x3027124c,x3027124c.0.2,wye,0.01666667,0.00090909,1,1
t21383494b,1,primary,l2954361,l2954361.2,wye,1,0.00090909,1,1
t21383494b,2,secondary_1,x2954361b,x2954361b.1.0,wye,0.01666667,0.00090909,1,1
t21383494b,3,secondary_2,x2954361b,x2954361b.0.2,wye,0.01666667,0.00090909,1,1
t5251863c,1,primary,l2745811,l2745811.3,wye,1,0.00090909,1,1
t5251863c,2,secondary_1,x2745811c,x2745811c.1.0,wye,0.01666667,0.00090909,1,1
t5251863c,3,secondary_2,x2745811c,x2745811c.0.2,wye,0.01666667,0.00090909,1,1
t5293645a,1,primary,l2841633,l2841633.1,wye,1,0.00090909,1,1
t5293645a,2,secondary_1,x2841633a,x2841633a.1.0,wye,0.01666667,0.00090909,1,1
t5293645a,3,secondary_2,x2841633a,x2841633a.0.2,wye,0.01666667,0.00090909,1,1
t21482431a,1,primary,l2917359,l2917359.1,wye,1,0.00054545,1,1
t21482431a,2,secondary_1,x2917359a,x2917359a.1.0,wye,0.01666667,0.00054545,1,1
t21482431a,3,secondary_2,x2917359a,x2917359a.0.2,wye,0.01666667,0.00054545,1,1
t5293480a,1,primary,l2748158,l2748158.1,wye,1,0.00054545,1,1
t5293480a,2,secondary_1,x2748158a,x2748158a.1.0,wye,0.01666667,0.00054545,1,1
t5293480a,3,secondary_2,x2748158a,x2748158a.0.2,wye,0.01666667,0.00054545,1,1
t21469911a,1,primary,l2955047,l2955047.1,wye,1,0.00090909,1,1
t21469911a,2,secondary_1,x2955047a,x2955047a.1.0,wye,0.01666667,0.00090909,1,1
t21469911a,3,secondary_2,x2955047a,x2955047a.0.2,wye,0.01666667,0.00090909,1,1
t5355432c,1,primary,l3122837,l3122837.3,wye,1,0.00136364,1,1
t5355432c,2,secondary_1,x3122837c,x3122837c.1.0,wye,0.01666667,0.00136364,1,1
t5355432c,3,secondary_2,x3122837c,x3122837c.0.2,wye,0.01666667,0.00136364,1,1
t5323285b,1,primary,l2804269,l2804269.2,wye,1,0.00090909,1,1
t5323285b,2,secondary_1,x2804269b,x2804269b.1.0,wye,0.01666667,0.00090909,1,1
t5323285b,3,secondary_2,x2804269b,x2804269b.0.2,wye,0.01666667,0.00090909,1,1
t226192954c,1,primary,l3157708,l3157708.3,wye,1,0.00054545,1,1
t226192954c,2,secondary_1,x3157708c,x3157708c.1.0,wye,0.01666667,0.00054545,1,1
t226192954c,3,secondary_2,x3157708c,x3157708c.0.2,wye,0.01666667,0.00054545,1,1
t5207292c,1,primary,l3179682,l3179682.3,wye,1,0.00054545,1,1
t5207292c,2,secondary_1,x3179682c,x3179682c.1.0,wye,0.01666667,0.00054545,1,1
t5207292c,3,secondary_2,x3179682c,x3179682c.0.2,wye,0.01666667,0.00054545,1,1
t5337672b,1,primary,l2822877,l2822877.2,wye,1,0.00054545,1,1
t5337672b,2,secondary_1,x2822877b,x2822877b.1.0,wye,0.01666667,0.00054545,1,1
t5337672b,3,secondary_2,x2822877b,x2822877b.0.2,wye,0.01666667,0.00054545,1,1
t5442373c,1,primary,l3141393,l3141393.3,wye,1,0.00090909,1,1
t5442373c,2,secondary_1,x3141393c,x3141393c.1.0,wye,0.01666667,0.00090909,1,1
t5442373c,3,secondary_2,x3141393c,x3141393c.0.2,wye,0.01666667,0.00090909,1,1
t21470405a,1,primary,l2897801,l2897801.1,wye,1,0.00136364,1,1
t21470405a,2,secondary_1,x2897801a,x2897801a.1.0,wye,0.01666667,0.00136364,1,1
t21470405a,3,secondary_2,x2897801a,x2897801a.0.2,wye,0.01666667,0.00136364,1,1
t5218474a,1,primary,l3217056,l3217056.1,wye,1,0.00181818,1,1
t5218474a,2,secondary_1,x3217056a,x3217056a.1.0,wye,0.01666667,0.00181818,1,1
t5218474a,3,secondary_2,x3217056a,x3217056a.0.2,wye,0.01666667,0.00181818,1,1
t5218472a,1,primary,l2936270,l2936270.1,wye,1,0.00090909,1,1
t5218472a,2,secondary_1,x2936270a,x2936270a.1.0,wye,0.01666667,0.00090909,1,1
t5218472a,3,secondary_2,x2936270a,x2936270a.0.2,wye,0.01666667,0.00090909,1,1
t5356014a,1,primary,l3235249,l3235249.1,wye,1,0.00036364,1,1
t5356014a,2,secondary_1,x3235249a,x3235249a.1.0,wye,0.01666667,0.00036364,1,1
t5356014a,3,secondary_2,x3235249a,x3235249a.0.2,wye,0.01666667,0.00036364,1,1
t5260528c,1,primary,l3217052,l3217052.3,wye,1,0.00090909,1,1
t5260528c,2,secondary_1,x3217052c,x3217052c.1.0,wye,0.01666667,0.00090909,1,1
t5260528c,3,secondary_2,x3217052c,x3217052c.0.2,wye,0.01666667,0.00090909,1,1
t5355933a,1,primary,l2916598,l2916598.1,wye,1,0.00036364,1,1
t5355933a,2,secondary_1,x2916598a,x2916598a.1.0,wye,0.01666667,0.00036364,1,1
t5355933a,3,secondary_2,x2916598a,x2916598a.0.2,wye,0.01666667,0.00036364,1,1
t5138649a,1,primary,l3048206,l3048206.1,wye,1,0.00090909,1,1
t5138649a,2,secondary_1,x3048206a,x3048206a.1.0,wye,0.01666667,0.00090909,1,1
t5138649a,3,secondary_2,x3048206a,x3048206a.0.2,wye,0.01666667,0.00090909,1,1
t5391978c,1,primary,l3141402,l3141402.3,wye,1,0.00090909,1,1
