bus_id,phases,base_kv,type
HVMV_Sub_HSB,abc,1,slack
D5513564-1_INT,abc,1,pq
D6198039-1_INT,abc,1,pq
E182732,abc,1,pq
E184626,abc,1,pq
E192860,abc,1,pq
L2673313,abc,1,pq
L2673326,b,1,pq
L2673346,abc,1,pq
L2692633,abc,1,pq
L2763072,b,1,pq
L2763153,abc,1,pq
L2763811,c,1,pq
L2764411,c,1,pq
L2766718,abc,1,pq
L2766722,b,1,pq
L2767342,a,1,pq
L2806553,c,1,pq
L2823611,abc,1,pq
L2841621,abc,1,pq
L2841632,abc,1,pq
L2841635,abc,1,pq
L2859403,abc,1,pq
L2860490,abc,1,pq
L2860491,abc,1,pq
L2897780,abc,1,pq
L2933135,abc,1,pq
L2935554,abc,1,pq
L2936216,c,1,pq
L2936279,abc,1,pq
L2954361,b,1,pq
L2973163,b,1,pq
L2991910,b,1,pq
L3027116,abc,1,pq
L3027157,abc,1,pq
L3029498,abc,1,pq
L3048205,c,1,pq
L3104125,abc,1,pq
L3120376,a,1,pq
L3122821,abc,1,pq
L3160107,abc,1,pq
L3179678,abc,1,pq
L3197630,abc,1,pq
L3214069,abc,1,pq
L3214071,abc,1,pq
L3216367,abc,1,pq
L3235246,b,1,pq
L3251808,a,1,pq
L3254234,b,1,pq
M1008746,b,1,pq
M1009770,abc,1,pq
M1009827,b,1,pq
M1010014,a,1,pq
M1026308,b,1,pq
M1026323,b,1,pq
M1026328,abc,1,pq
M1026341,abc,1,pq
M1026356,abc,1,pq
M1026468,b,1,pq
M1026660,a,1,pq
M1026662,abc,1,pq
M1026695,abc,1,pq
M1026767,a,1,pq
M1026783,abc,1,pq
M1026796,abc,1,pq
M1026820,a,1,pq
M1026829,abc,1,pq
M1026851,abc,1,pq
M1026854,abc,1,pq
M1026861,abc,1,pq
M1026876,abc,1,pq
M1026896,abc,1,pq
M1026907,abc,1,pq
M1026927,abc,1,pq
M1026954,abc,1,pq
M1026970,abc,1,pq
M1027027,c,1,pq
M1027043,abc,1,pq
M1027087,a,1,pq
M1047345,abc,1,pq
M1047368,b,1,pq
M1047386,b,1,pq
M1047409,a,1,pq
M1047432,a,1,pq
M1047441,b,1,pq
M1047453,b,1,pq
M1047471,b,1,pq
M1047483,abc,1,pq
M1047490,abc,1,pq
M1047507,abc,1,pq
M1047521,abc,1,pq
M1047534,abc,1,pq
M1047548,abc,1,pq
M1047550,abc,1,pq
M1047568,abc,1,pq
M1047615,abc,1,pq
M1047649,abc,1,pq
M1047688,abc,1,pq
M1047724,abc,1,pq
M1047737,abc,1,pq
M1047763,abc,1,pq
M1047777,b,1,pq
M1047786,b,1,pq
M1047793,b,1,pq
M1047821,b,1,pq
M1047825,b,1,pq
M1069135,abc,1,pq
M1069147,c,1,pq
M1069154,abc,1,pq
M1069156,abc,1,pq
M1069169,abc,1,pq
M1069181,a,1,pq
M1069189,abc,1,pq
M1069202,c,1,pq
M1069217,c,1,pq
M1069311,abc,1,pq
M1069376,abc,1,pq
M1069393,b,1,pq
M1069419,abc,1,pq
M1069428,abc,1,pq
M1069483,abc,1,pq
M1069500,abc,1,pq
M1069503,abc,1,pq
M1069504,abc,1,pq
M1069513,abc,1,pq
M1069514,abc,1,pq
M1069517,abc,1,pq
M1069533,abc,1,pq
M1069551,b,1,pq
M1069567,b,1,pq
M1069595,b,1,pq
M1089097,b,1,pq
M1089112,abc,1,pq
M1089119,abc,1,pq
M1089141,abc,1,pq
M1089143,abc,1,pq
M1089155,c,1,pq
M1089165,c,1,pq
M1089173,c,1,pq
M1089197,abc,1,pq
M1089198,abc,1,pq
M1089207,abc,1,pq
M1108286,abc,1,pq
M1108295,abc,1,pq
M1108315,abc,1,pq
M1108328,c,1,pq
M1108331,c,1,pq
M1108335,c,1,pq
M1108344,c,1,pq
M1108380,abc,1,pq
M1108490,abc,1,pq
M1108493,abc,1,pq
M1108505,abc,1,pq
M1108526,abc,1,pq
M1108529,abc,1,pq
M1125914,abc,1,pq
M1125944,abc,1,pq
M1125968,abc,1,pq
M1125989,abc,1,pq
M1125994,abc,1,pq
M1142818,abc,1,pq
M1142843,abc,1,pq
M1142860,abc,1,pq
M1142865,abc,1,pq
M1142869,abc,1,pq
M1142875,abc,1,pq
M1166366,abc,1,pq
M1166373,abc,1,pq
M1166375,abc,1,pq
M1166395,c,1,pq
M1186072,abc,1,pq
M1209787,abc,1,pq
M1209788,abc,1,pq
M1209791,abc,1,pq
M1209800,abc,1,pq
M1209807,abc,1,pq
M1209814,abc,1,pq
M1209824,c,1,pq
M1209828,c,1,pq
M3032977,abc,1,pq
M3032980,abc,1,pq
M3036169,a,1,pq
M3037452,a,1,pq
M3763619,abc,1,pq
M3768670,abc,1,pq
M4350438,b,1,pq
N1134475,abc,1,pq
N1136028,abc,1,pq
N1136663,abc,1,pq
N1139260,abc,1,pq
N1139541,abc,1,pq
N1139547,abc,1,pq
N1144663,abc,1,pq
N1144665,abc,1,pq
P828362,abc,1,pq
Q14404,abc,1,pq
Q16483,abc,1,pq
R18243,abc,1,pq
R42246,abc,1,pq
regxfmr_HVMV_Sub_LSB,abc,1,pq
