bus_id,phase,scenario,p_pu,q_pu
HVMV_Sub_HSB,a,h001,0,0
HVMV_Sub_HSB,b,h001,0,0
HVMV_Sub_HSB,c,h001,0,0
D5513564-1_INT,a,h001,-6.5454545454545504e-05,-1.8181818181818199e-05
D5513564-1_INT,b,h001,0,0
D5513564-1_INT,c,h001,0,0
D6198039-1_INT,a,h001,0,0
D6198039-1_INT,b,h001,0,0
D6198039-1_INT,c,h001,-0.00037454545454545499,-0.000101818181818182
E182732,a,h001,-0.00098181818181818092,-0.00026181818181818191
E182732,b,h001,-0.00054181818181818205,-0.000145454545454545
E182732,c,h001,-0.00022545454545454499,-6.1818181818181804e-05
E184626,a,h001,-0.00019636363636363601,-5.09090909090909e-05
E184626,b,h001,0,0
E184626,c,h001,-0.00014909090909090899,-4.0000000000000003e-05
E192860,a,h001,0,0
E192860,b,h001,0,0
E192860,c,h001,-0.00014909090909090899,-4.0000000000000003e-05
L2673313,a,h001,0,0
L2673313,b,h001,-0.00093454545454545505,-0.00024727272727272716
L2673313,c,h001,-0.00014909090909090899,-4.0000000000000003e-05
L2673326,b,h001,-0.004992727272727278,-0.0013309090909090903
L2673346,a,h001,-0.0024545454545454527,-0.00065454545454545485
L2673346,b,h001,-0.00036000000000000002,-9.4545454545454495e-05
L2673346,c,h001,-0.00037454545454545499,-0.000101818181818182
L2692633,a,h001,0,0
L2692633,b,h001,-0.00036000000000000002,-9.4545454545454495e-05
L2692633,c,h001,-0.00037454545454545499,-0.000101818181818182
L2763072,b,h001,-0.00093454545454545505,-0.00024727272727272716
L2763153,a,h001,-0.00032727272727272699,-8.7272727272727298e-05
L2763153,b,h001,0,0
L2763153,c,h001,-0.00093818181818181902,-0.00025090909090909103
L2763811,c,h001,-0.0056909090909091006,-0.00150909090909091
L2764411,c,h001,-0.002363636363636362,-0.00064000000000000005
L2766718,a,h001,0,0
L2766718,b,h001,0,0
L2766718,c,h001,-0.00056363636363636403,-0.00014909090909090899
L2766722,b,h001,-0.00108,-0.00028363636363636351
L2767342,a,h001,-0.002683636363636362,-0.00071272727272727308
L2806553,c,h001,-0.00037454545454545499,-0.000101818181818182
L2823611,a,h001,-0.00019636363636363601,-5.09090909090909e-05
L2823611,b,h001,0,0
L2823611,c,h001,0,0
L2841621,a,h001,0,0
L2841621,b,h001,0,0
L2841621,c,h001,-0.00052363636363636393,-0.000141818181818182
L2841632,a,h001,0,0
L2841632,b,h001,-0.00036000000000000002,-9.4545454545454495e-05
L2841632,c,h001,0,0
L2841635,a,h001,-0.00052363636363636306,-0.00013818181818181819
L2841635,b,h001,0,0
L2841635,c,h001,-0.00022545454545454499,-6.1818181818181804e-05
L2859403,a,h001,-0.000985454545454545,-0.00026181818181818229
L2859403,b,h001,0,0
L2859403,c,h001,0,0
L2860490,a,h001,-0.00032727272727272699,-8.7272727272727298e-05
L2860490,b,h001,0,0
L2860490,c,h001,-0.00037454545454545499,-0.000101818181818182
L2860491,a,h001,-0.0014399999999999992,-0.00038545454545454554
L2860491,b,h001,-0.00054181818181818205,-0.000145454545454545
L2860491,c,h001,0,0
L2897780,a,h001,-0.00065454545454545409,-0.0001745454545454546
L2897780,b,h001,-0.00057454545454545475,-0.00015272727272727269
L2897780,c,h001,-0.00014909090909090899,-4.0000000000000003e-05
L2933135,a,h001,-0.001309090909090908,-0.00034909090909090919
