switch_id,from_bus,from_phases,to_bus,to_phases,status,enabled
x8223_48332_sw,d6413567-3_int,abc,e182724,abc,closed,1
wd701_48332_sw,228-1048090-1_int,b,193-51796,b,closed,0
v7173_48332_sw,d5534969-2_int,abc,e182729,abc,closed,1
v9287_48332_sw,d6019477-1_int,c,e182727,c,closed,1
a8735_48332_sw,d5710794-3_int,abc,e192860,abc,closed,1
v7995_48332_sw,d5837361-8_int,c,e182745,c,closed,0
l5437_48332_sw,d5535139-1_int,abc,e183473,abc,closed,1
ln4625713_sw,d5502543-2_int,abc,q14413,abc,closed,1
ln4641075_sw,d5860423-3_int,abc,q14733,abc,closed,1
l5491_48332_sw,d5655682-1_int,b,e182725,b,closed,1
ln4625696_sw,d5926308-3_int,abc,q14412,abc,closed,1
ln4586093_sw,d6138608-3_int,abc,q14404,abc,closed,1
l5659_48332_sw,d6231996-1_int,b,e206614,b,closed,1
ln3693186_sw,d5861005-2_int,abc,q1301,abc,closed,1
v7313_48332_sw,d5806920-1_int,b,e182726,b,closed,1
a8611_48332_sw,d5799561-2_int,abc,e193509,abc,closed,1
ln4625876_sw,d5835167-6_int,abc,q14414,abc,closed,1
v9111_48332_sw,d6108141-1_int,abc,e206209,abc,closed,1
x8271_48332_sw,d5712486-1_int,c,e206210,c,closed,1
v7041_48332_sw,d5867591-1_int,abc,e183472,abc,closed,1
l5397_48332_sw,d6049822-1_int,a,e182722,a,closed,1
wg127_48332_sw,228-961799-3_int,c,193-46661,c,closed,0
ln247171_sw,d6047588-1_int,b,f739844,b,closed,1
l5523_48332_sw,d6049825-1_int,abc,e182748,abc,closed,1
2002200004641085_sw,d5587291-3_int,abc,q14734,abc,closed,1
xj171_48332_sw,d5513564-1_int,abc,e192201,abc,closed,1
a8869_48332_sw,d6198039-1_int,abc,e206217,abc,closed,1
l9407_48332_sw,d6023352-1_int,abc,e184626,abc,closed,1
x8225_48332_sw,d5565090-1_int,b,e182744,b,closed,1
2002200004868472_sw,d5563942-4_int,abc,q16483,abc,closed,1
2002200004991174_sw,d6290228-6_int,abc,q16642,abc,closed,1
l9191_48332_sw,d5534970-1_int,abc,e182732,abc,closed,1
ln0247162_sw,d5472341-1_int,b,f739842,b,closed,1
ln247160_sw,d5865224-1_int,b,f739841,b,closed,1
wf856_48332_sw,228-1353934-4_int,c,193-103041,c,closed,0
ln293471_sw,d5686080-1_int,abc,f739845,abc,closed,1
a8645_48332_sw,d5958866-1_int,abc,e183493,abc,closed,1
v9109_48332_sw,d6140776-1_int,a,e182730,a,closed,1
g9343_48332_sw,d5682346-3_int,abc,e206211,abc,closed,1
wf586_48332_sw,228-979371-2_int,c,193-48013,c,closed,0
l5565_48332_sw,d6140778-1_int,b,e182731,b,closed,1
a333_48332_sw,d5746546-1_int,c,e182723,c,closed,1
ln4625680_sw,d5956499-2_int,abc,q14411,abc,closed,1
