transformer_id,secondary_winding,from_bus,from_phases,to_bus,to_phases,from_connection,to_connection,voltage_ratio,tap_pu,enabled
hvmv_sub,1,hvmv_sub_hsb,abc,regxfmr_hvmv_sub_lsb,abc,delta,wye,0.10843478,1,1
feeder_rega,1,regxfmr_hvmv_sub_lsb,a,_hvmv_sub_lsb,a,wye,wye,1,1.0125,1
feeder_regb,1,regxfmr_hvmv_sub_lsb,b,_hvmv_sub_lsb,b,wye,wye,1,1.0125,1
feeder_regc,1,regxfmr_hvmv_sub_lsb,c,_hvmv_sub_lsb,c,wye,wye,1,1.00625,1
t21396254a,1,l2804253,a,x2804253a,a,wye,wye,0.01666667,1,1
t21396254a,2,l2804253,a,x2804253a,b,wye,wye,0.01666667,1,1
t5321859b,1,l3254213,b,x3254213b,a,wye,wye,0.01666667,1,1
t5321859b,2,l3254213,b,x3254213b,b,wye,wye,0.01666667,1,1
t5391741b,1,l3216339,b,x3216339b,a,wye,wye,0.01666667,1,1
t5391741b,2,l3216339,b,x3216339b,b,wye,wye,0.01666667,1,1
t5293672a,1,l2954355,a,x2954355a,a,wye,wye,0.01666667,1,1
t5293672a,2,l2954355,a,x2954355a,b,wye,wye,0.01666667,1,1
t21474711c,1,l2861197,c,x2861197c,a,wye,wye,0.01666667,1,1
t21474711c,2,l2861197,c,x2861197c,b,wye,wye,0.01666667,1,1
t5260488a,1,l2842379,a,x2842379a,a,wye,wye,0.01666667,1,1
t5260488a,2,l2842379,a,x2842379a,b,wye,wye,0.01666667,1,1
t5391758b,1,l2841636,b,x2841636b,a,wye,wye,0.01666667,1,1
t5391758b,2,l2841636,b,x2841636b,b,wye,wye,0.01666667,1,1
t228091193a,1,l3047289,a,x3047289a,a,wye,wye,0.01666667,1,1
t228091193a,2,l3047289,a,x3047289a,b,wye,wye,0.01666667,1,1
t228091193b,1,l3047289,b,x3047289b,a,wye,wye,0.01666667,1,1
t228091193b,2,l3047289,b,x3047289b,b,wye,wye,0.01666667,1,1
t228091193c,1,l3047289,c,x3047289c,a,wye,wye,0.01666667,1,1
t228091193c,2,l3047289,c,x3047289c,b,wye,wye,0.01666667,1,1
t5302862c,1,l3085399,c,x3085399c,a,wye,wye,0.01666667,1,1
t5302862c,2,l3085399,c,x3085399c,b,wye,wye,0.01666667,1,1
t21236413b,1,l3085391,b,x3085391b,a,wye,wye,0.01666667,1,1
t21236413b,2,l3085391,b,x3085391b,b,wye,wye,0.01666667,1,1
t5302468a,1,l2897778,a,x2897778a,a,wye,wye,0.01666667,1,1
t5302468a,2,l2897778,a,x2897778a,b,wye,wye,0.01666667,1,1
t5294787a,1,l3197647,a,x3197647a,a,wye,wye,0.01666667,1,1
t5294787a,2,l3197647,a,x3197647a,b,wye,wye,0.01666667,1,1
t5157715b,1,l2936275,b,x2936275b,a,wye,wye,0.01666667,1,1
t5157715b,2,l2936275,b,x2936275b,b,wye,wye,0.01666667,1,1
t5355768b,1,l2729408,b,x2729408b,a,wye,wye,0.01666667,1,1
t5355768b,2,l2729408,b,x2729408b,b,wye,wye,0.01666667,1,1
t5138562a,1,l2673310,a,x2673310a,a,wye,wye,0.01666667,1,1
t5138562a,2,l2673310,a,x2673310a,b,wye,wye,0.01666667,1,1
t5355934a,1,l3048212,a,x3048212a,a,wye,wye,0.01666667,1,1
t5355934a,2,l3048212,a,x3048212a,b,wye,wye,0.01666667,1,1
t5293483a,1,l3104133,a,x3104133a,a,wye,wye,0.01666667,1,1
t5293483a,2,l3104133,a,x3104133a,b,wye,wye,0.01666667,1,1
t21399762a,1,l2879087,a,x2879087a,a,wye,wye,0.01666667,1,1
t21399762a,2,l2879087,a,x2879087a,b,wye,wye,0.01666667,1,1
t5138650c,1,l2710510,c,x2710510c,a,wye,wye,0.01666667,1,1
t5138650c,2,l2710510,c,x2710510c,b,wye,wye,0.01666667,1,1
t5323242b,1,l3122810,b,x3122810b,a,wye,wye,0.01666667,1,1
t5323242b,2,l3122810,b,x3122810b,b,wye,wye,0.01666667,1,1
t28127090c,1,l2954352,c,x2954352c,a,wye,wye,0.01666667,1,1
t28127090c,2,l2954352,c,x2954352c,b,wye,wye,0.01666667,1,1
t5138769a,1,l2729411,a,x2729411a,a,wye,wye,0.01666667,1,1
t5138769a,2,l2729411,a,x2729411a,b,wye,wye,0.01666667,1,1
t5338896a,1,l3178971,a,x3178971a,a,wye,wye,0.01666667,1,1
t5338896a,2,l3178971,a,x3178971a,b,wye,wye,0.01666667,1,1
t5355586b,1,l3254234,b,x3254234b,a,wye,wye,0.01666667,1,1
t5355586b,2,l3254234,b,x3254234b,b,wye,wye,0.01666667,1,1
t5293471a,1,293471,a,x_293471a,a,wye,wye,0.01666667,1,1
t5293471a,2,293471,a,x_293471a,b,wye,wye,0.01666667,1,1
t5293471b,1,293471,b,x_293471b,a,wye,wye,0.01666667,1,1
t5293471b,2,293471,b,x_293471b,b,wye,wye,0.01666667,1,1
t5293471c,1,293471,c,x_293471c,a,wye,wye,0.01666667,1,1
t5293471c,2,293471,c,x_293471c,b,wye,wye,0.01666667,1,1
t5338954a,1,l2860482,a,x2860482a,a,wye,wye,0.01666667,1,1
t5338954a,2,l2860482,a,x2860482a,b,wye,wye,0.01666667,1,1
t21459629c,1,l2763811,c,x2763811c,a,wye,wye,0.01666667,1,1
t21459629c,2,l2763811,c,x2763811c,b,wye,wye,0.01666667,1,1
t5260562a,1,l3251799,a,x3251799a,a,wye,wye,0.01666667,1,1
t5260562a,2,l3251799,a,x3251799a,b,wye,wye,0.01666667,1,1
t21393486c,1,l2898526,c,x2898526c,a,wye,wye,0.01666667,1,1
t21393486c,2,l2898526,c,x2898526c,b,wye,wye,0.01666667,1,1
t5293518b,1,l2897780,b,x2897780b,a,wye,wye,0.01666667,1,1
t5293518b,2,l2897780,b,x2897780b,b,wye,wye,0.01666667,1,1
t226195194c,1,l3027124,c,x3027124c,a,wye,wye,0.01666667,1,1
t226195194c,2,l3027124,c,x3027124c,b,wye,wye,0.01666667,1,1
t21383494b,1,l2954361,b,x2954361b,a,wye,wye,0.01666667,1,1
t21383494b,2,l2954361,b,x2954361b,b,wye,wye,0.01666667,1,1
t5251863c,1,l2745811,c,x2745811c,a,wye,wye,0.01666667,1,1
t5251863c,2,l2745811,c,x2745811c,b,wye,wye,0.01666667,1,1
t5293645a,1,l2841633,a,x2841633a,a,wye,wye,0.01666667,1,1
t5293645a,2,l2841633,a,x2841633a,b,wye,wye,0.01666667,1,1
t21482431a,1,l2917359,a,x2917359a,a,wye,wye,0.01666667,1,1
t21482431a,2,l2917359,a,x2917359a,b,wye,wye,0.01666667,1,1
t5293480a,1,l2748158,a,x2748158a,a,wye,wye,0.01666667,1,1
t5293480a,2,l2748158,a,x2748158a,b,wye,wye,0.01666667,1,1
t21469911a,1,l2955047,a,x2955047a,a,wye,wye,0.01666667,1,1
t21469911a,2,l2955047,a,x2955047a,b,wye,wye,0.01666667,1,1
t5355432c,1,l3122837,c,x3122837c,a,wye,wye,0.01666667,1,1
t5355432c,2,l3122837,c,x3122837c,b,wye,wye,0.01666667,1,1
t5323285b,1,l2804269,b,x2804269b,a,wye,wye,0.01666667,1,1
t5323285b,2,l2804269,b,x2804269b,b,wye,wye,0.01666667,1,1
t226192954c,1,l3157708,c,x3157708c,a,wye,wye,0.01666667,1,1
t226192954c,2,l3157708,c,x3157708c,b,wye,wye,0.01666667,1,1
t5207292c,1,l3179682,c,x3179682c,a,wye,wye,0.01666667,1,1
t5207292c,2,l3179682,c,x3179682c,b,wye,wye,0.01666667,1,1
t5337672b,1,l2822877,b,x2822877b,a,wye,wye,0.01666667,1,1
t5337672b,2,l2822877,b,x2822877b,b,wye,wye,0.01666667,1,1
t5442373c,1,l3141393,c,x3141393c,a,wye,wye,0.01666667,1,1
t5442373c,2,l3141393,c,x3141393c,b,wye,wye,0.01666667,1,1
t21470405a,1,l2897801,a,x2897801a,a,wye,wye,0.01666667,1,1
t21470405a,2,l2897801,a,x2897801a,b,wye,wye,0.01666667,1,1
t5218474a,1,l3217056,a,x3217056a,a,wye,wye,0.01666667,1,1
t5218474a,2,l3217056,a,x3217056a,b,wye,wye,0.01666667,1,1
t5218472a,1,l2936270,a,x2936270a,a,wye,wye,0.01666667,1,1
t5218472a,2,l2936270,a,x2936270a,b,wye,wye,0.01666667,1,1
t5356014a,1,l3235249,a,x3235249a,a,wye,wye,0.01666667,1,1
t5356014a,2,l3235249,a,x3235249a,b,wye,wye,0.01666667,1,1
t5260528c,1,l3217052,c,x3217052c,a,wye,wye,0.01666667,1,1
t5260528c,2,l3217052,c,x3217052c,b,wye,wye,0.01666667,1,1
t5355933a,1,l2916598,a,x2916598a,a,wye,wye,0.01666667,1,1
t5355933a,2,l2916598,a,x2916598a,b,wye,wye,0.01666667,1,1
t5138649a,1,l3048206,a,x3048206a,a,wye,wye,0.01666667,1,1
t5138649a,2,l3048206,a,x3048206a,b,wye,wye,0.01666667,1,1
t5391978c,1,l3141402,c,x3141402c,a,wye,wye,0.01666667,1,1
t5391978c,2,l3141402,c,x3141402c,b,wye,wye,0.01666667,1,1
t5138642a,1,l3235256,a,x3235256a,a,wye,wye,0.01666667,1,1
t5138642a,2,l3235256,a,x3235256a,b,wye,wye,0.01666667,1,1
t21149420a,1,l3178973,a,x3178973a,a,wye,wye,0.01666667,1,1
t21149420a,2,l3178973,a,x3178973a,b,wye,wye,0.01666667,1,1
t21382992a,1,l3197654,a,x3197654a,a,wye,wye,0.01666667,1,1
t21382992a,2,l3197654,a,x3197654a,b,wye,wye,0.01666667,1,1
t5338958c,1,l3066809,c,x3066809c,a,wye,wye,0.01666667,1,1
t5338958c,2,l3066809,c,x3066809c,b,wye,wye,0.01666667,1,1
t5355585b,1,l2766742,b,x2766742b,a,wye,wye,0.01666667,1,1
t5355585b,2,l2766742,b,x2766742b,b,wye,wye,0.01666667,1,1
t5338900a,1,l2991908,a,x2991908a,a,wye,wye,0.01666667,1,1
t5338900a,2,l2991908,a,x2991908a,b,wye,wye,0.01666667,1,1
t5323389b,1,l3065750,b,x3065750b,a,wye,wye,0.01666667,1,1
t5323389b,2,l3065750,b,x3065750b,b,wye,wye,0.01666667,1,1
t28127253a,1,l3085401,a,x3085401a,a,wye,wye,0.01666667,1,1
t28127253a,2,l3085401,a,x3085401a,b,wye,wye,0.01666667,1,1
t21397067a,1,l2729413,a,x2729413a,a,wye,wye,0.01666667,1,1
t21397067a,2,l2729413,a,x2729413a,b,wye,wye,0.01666667,1,1
t5260520b,1,l3254915,b,x3254915b,a,wye,wye,0.01666667,1,1
t5260520b,2,l3254915,b,x3254915b,b,wye,wye,0.01666667,1,1
t5323250b,1,l2748131,b,x2748131b,a,wye,wye,0.01666667,1,1
t5323250b,2,l2748131,b,x2748131b,b,wye,wye,0.01666667,1,1
t5337659c,1,l3066810,c,x3066810c,a,wye,wye,0.01666667,1,1
t5337659c,2,l3066810,c,x3066810c,b,wye,wye,0.01666667,1,1
t28118903b,1,l2973146,b,x2973146b,a,wye,wye,0.01666667,1,1
t28118903b,2,l2973146,b,x2973146b,b,wye,wye,0.01666667,1,1
t21398646b,1,l2973180,b,x2973180b,a,wye,wye,0.01666667,1,1
t21398646b,2,l2973180,b,x2973180b,b,wye,wye,0.01666667,1,1
t5293656b,1,l2973167,b,x2973167b,a,wye,wye,0.01666667,1,1
t5293656b,2,l2973167,b,x2973167b,b,wye,wye,0.01666667,1,1
t5338910c,1,l2841621,c,x2841621c,a,wye,wye,0.01666667,1,1
t5338910c,2,l2841621,c,x2841621c,b,wye,wye,0.01666667,1,1
t28129923c,1,l3123509,c,x3123509c,a,wye,wye,0.01666667,1,1
t28129923c,2,l3123509,c,x3123509c,b,wye,wye,0.01666667,1,1
t5337716a,1,l2841627,a,x2841627a,a,wye,wye,0.01666667,1,1
t5337716a,2,l2841627,a,x2841627a,b,wye,wye,0.01666667,1,1
t5337698b,1,l3235250,b,x3235250b,a,wye,wye,0.01666667,1,1
t5337698b,2,l3235250,b,x3235250b,b,wye,wye,0.01666667,1,1
t2224386946a,1,l3728037,a,x3728037a,a,wye,wye,0.01666667,1,1
t2224386946a,2,l3728037,a,x3728037a,b,wye,wye,0.01666667,1,1
t5330121b,1,l3142078,b,x3142078b,a,wye,wye,0.01666667,1,1
t5330121b,2,l3142078,b,x3142078b,b,wye,wye,0.01666667,1,1
t5323252b,1,l2879066,b,x2879066b,a,wye,wye,0.01666667,1,1
t5323252b,2,l2879066,b,x2879066b,b,wye,wye,0.01666667,1,1
t5441331c,1,l3235254,c,x3235254c,a,wye,wye,0.01666667,1,1
t5441331c,2,l3235254,c,x3235254c,b,wye,wye,0.01666667,1,1
t5260474a,1,l2917330,a,x2917330a,a,wye,wye,0.01666667,1,1
t5260474a,2,l2917330,a,x2917330a,b,wye,wye,0.01666667,1,1
t5355376b,1,l2914323,b,x2914323b,a,wye,wye,0.01666667,1,1
t5355376b,2,l2914323,b,x2914323b,b,wye,wye,0.01666667,1,1
t5338944c,1,l3197640,c,x3197640c,a,wye,wye,0.01666667,1,1
t5338944c,2,l3197640,c,x3197640c,b,wye,wye,0.01666667,1,1
t5260640c,1,l3179673,c,x3179673c,a,wye,wye,0.01666667,1,1
t5260640c,2,l3179673,c,x3179673c,b,wye,wye,0.01666667,1,1
t5274997c,1,l3048228,c,x3048228c,a,wye,wye,0.01666667,1,1
t5274997c,2,l3048228,c,x3048228c,b,wye,wye,0.01666667,1,1
t5138372c,1,l3104126,c,x3104126c,a,wye,wye,0.01666667,1,1
t5138372c,2,l3104126,c,x3104126c,b,wye,wye,0.01666667,1,1
t226308721a,1,l2990098,a,x2990098a,a,wye,wye,0.01666667,1,1
t226308721a,2,l2990098,a,x2990098a,b,wye,wye,0.01666667,1,1
t21380616a,1,l2879067,a,x2879067a,a,wye,wye,0.01666667,1,1
t21380616a,2,l2879067,a,x2879067a,b,wye,wye,0.01666667,1,1
t226193170a,1,l3176656,a,x3176656a,a,wye,wye,0.01666667,1,1
t226193170a,2,l3176656,a,x3176656a,b,wye,wye,0.01666667,1,1
t5293666c,1,l2710532,c,x2710532c,a,wye,wye,0.01666667,1,1
t5293666c,2,l2710532,c,x2710532c,b,wye,wye,0.01666667,1,1
t5338994b,1,l3160115,b,x3160115b,a,wye,wye,0.01666667,1,1
t5338994b,2,l3160115,b,x3160115b,b,wye,wye,0.01666667,1,1
t228665517c,1,l3103822,c,x3103822c,a,wye,wye,0.01666667,1,1
t228665517c,2,l3103822,c,x3103822c,b,wye,wye,0.01666667,1,1
t5260647a,1,l2805034,a,x2805034a,a,wye,wye,0.01666667,1,1
t5260647a,2,l2805034,a,x2805034a,b,wye,wye,0.01666667,1,1
t226115278a,1,l3157167,a,x3157167a,a,wye,wye,0.01666667,1,1
t226115278a,2,l3157167,a,x3157167a,b,wye,wye,0.01666667,1,1
t5338977a,1,l2916620,a,x2916620a,a,wye,wye,0.01666667,1,1
t5338977a,2,l2916620,a,x2916620a,b,wye,wye,0.01666667,1,1
t5338977b,1,l2916620,b,x2916620b,a,wye,wye,0.01666667,1,1
t5338977b,2,l2916620,b,x2916620b,b,wye,wye,0.01666667,1,1
t5338977c,1,l2916620,c,x2916620c,a,wye,wye,0.01666667,1,1
t5338977c,2,l2916620,c,x2916620c,b,wye,wye,0.01666667,1,1
t5321876a,1,l3027132,a,x3027132a,a,wye,wye,0.01666667,1,1
t5321876a,2,l3027132,a,x3027132a,b,wye,wye,0.01666667,1,1
t5275001c,1,l2822862,c,x2822862c,a,wye,wye,0.01666667,1,1
t5275001c,2,l2822862,c,x2822862c,b,wye,wye,0.01666667,1,1
t227411650c,1,l2937757,c,x2937757c,a,wye,wye,0.01666667,1,1
t227411650c,2,l2937757,c,x2937757c,b,wye,wye,0.01666667,1,1
t21396699b,1,l2860483,b,x2860483b,a,wye,wye,0.01666667,1,1
t21396699b,2,l2860483,b,x2860483b,b,wye,wye,0.01666667,1,1
t5302412a,1,l3048210,a,x3048210a,a,wye,wye,0.01666667,1,1
t5302412a,2,l3048210,a,x3048210a,b,wye,wye,0.01666667,1,1
