row,col,g,b
1,1,0.10820468194596296,-70.821984866435884
2,1,-0.0041023409730056009,35.460992433217946
3,1,-0.0041023409729573452,35.460992433217925
4,1,-0.0047369753301102569,40.946827054099302
5,1,0.009473950660240647,-81.893654108198604
6,1,0.0023684876650234056,-20.473413527049637
1,2,-0.0041023409729778349,35.460992433217932
2,2,0.10820468194596608,-70.821984866435884
3,2,-0.0041023409729882372,35.460992433217939
4,2,0.0023684876650509729,-20.473413527049647
5,2,-0.0047369753301181794,40.946827054099295
6,2,0.009473950660238142,-81.893654108198604
1,3,-0.0041023409729780049,35.460992433217939
2,3,-0.0041023409729830365,35.460992433217939
3,3,0.10820468194596106,-70.821984866435884
4,3,0.0094739506602275533,-81.893654108198604
5,3,0.0023684876650581065,-20.473413527049644
6,3,-0.0047369753301200546,40.946827054099309
1,4,-0.0071054629951693496,61.420240581148974
3,4,0.0071054629951693496,-61.420240581148974
4,4,7439.66387575306,-8069.957663434142
5,4,-2289.9167448975918,1386.7101160367972
6,4,-1641.0282963789348,1371.4763405654937
7,4,-7194.1057080280798,7508.444753028868
8,4,2205.7447241781915,-1275.7208615183777
9,4,1593.0381456934965,-1282.5107164588194
10,4,-4.8804634234755385e-11,-9.7492451615102196e-10
11,4,-1.0587876875165742e-10,2.7692712188592546e-10
12,4,-2.3849318558963444e-10,-5.2076275633255102e-11
13,4,-2.0295761872153084e-11,2.596759360545551e-11
14,4,-245.54586070341989,455.12993310613479
15,4,84.172020718805442,-110.98925451839584
16,4,47.990150687041769,-88.965624107383036
17,4,4.6616124211681114e-10,2.1379554134632864e-10
18,4,-2.5419693897367317e-13,-4.6795950958648691e-14
19,4,-8.6292449939193672e-27,1.9064796355947659e-26
1,5,0.0071054629951774568,-61.420240581148974
2,5,-0.0071054629952042167,61.420240581148995
4,5,-2289.9167448966587,1386.710116037432
5,5,7783.9796875026077,-8001.2111347020227
6,5,-2289.9167448969042,1386.7101160367574
7,5,2205.7447241781961,-1275.7208615183847
8,5,-7516.4772473747562,7429.2125625219387
9,5,2205.7447241781169,-1275.7208615184015
10,5,8.5180141320209361e-12,-1.071586358632775e-10
11,5,6.3271070419378285e-11,-2.2743138217033677e-11
12,5,-8.0726758463090027e-11,-1.6634095564434795e-11
13,5,-4.3955743474523759e-12,-3.9293099966769525e-12
14,5,84.172020718945589,-110.98925451855408
15,5,-267.49013310364154,465.61559488039592
16,5,84.172020718885676,-110.98925451836652
17,5,-2.4136865334294953e-10,-1.9812444633156333e-10
18,5,1.7068728532707431e-14,-1.0196598303684112e-13
19,5,-4.3566080604859778e-27,-2.7393335099596929e-28
2,6,0.0071054629951651368,-61.420240581148974
3,6,-0.0071054629951693366,61.420240581148974
4,6,-1641.0282963793895,1371.4763405653557
5,6,-2289.9167448990966,1386.7101160373477
6,6,7439.6638757539913,-8069.9576634349505
7,6,1593.0381456925013,-1282.5107164587862
8,6,2205.7447241781938,-1275.7208615183772
9,6,-7194.1057080289947,7508.4447530289217
10,6,3.2799348538910777e-11,3.4366557268443112e-10
11,6,7.0118791451471591e-11,5.0831547177681533e-10
12,6,-5.0658663797411513e-12,-5.1949719963256188e-10
13,6,-1.7265575598002831e-11,-1.711718877044169e-11
14,6,47.99015068698187,-88.965624107598444
15,6,84.172020718794329,-110.98925451862857
16,6,-245.54586070334406,455.12993310606498
17,6,-3.5464877574054072e-10,-1.078732300468256e-10
18,6,3.1057563767493611e-13,4.9306988271975906e-13
19,6,-1.056488497439642e-26,-6.2575288166404841e-27
4,7,-7194.1057080280807,7508.4447530288726
5,7,2205.7447241781911,-1275.7208615183777
6,7,1593.038145692497,-1282.5107164587876
7,7,7565.5676180672972,-8410.640255385948
8,7,-2342.555911067861,1525.1934213723482
9,7,-1655.5723954245691,1461.1377443485787
10,7,-371.46191003927424,902.19550235711449
11,7,136.81118688967592,-249.47255985400119
12,7,62.534249732129084,-178.62702788982165
13,7,-2.2429987509982505e-18,1.3372907231350182e-18
14,7,2.3088265328547898e-13,-1.5768647512489756e-12
15,7,-2.8117185562560295e-14,4.3828898440661736e-13
16,7,-2.027225925893129e-13,1.1363952643678099e-12
17,7,-1.3629604486084695e-12,3.2734119514118428e-12
