bus_id,phases,base_kv,type
B1,abc,1,slack
B3,abc,1,pq
B5,abc,1,pq
B6,abc,1,pq
B15,abc,1,pq
B16,abc,1,pq
B19,abc,1,pq
B23,abc,1,pq
B30,abc,1,pq
B31,a,1,pq
B43,abc,1,pq
B54,c,1,pq
B56,c,1,pq
B72,abc,1,pq
B81,abc,1,pq
B84,abc,1,pq
B87,abc,1,pq
B90,c,1,pq
B95,c,1,pq
B102,c,1,pq
B103,c,1,pq
B105,c,1,pq
B110,c,1,pq
B117,c,1,pq
B122,c,1,pq
B140,c,1,pq
B152,b,1,pq
B153,b,1,pq
B154,b,1,pq
B155,b,1,pq
B157,c,1,pq
B176,c,1,pq
B186,c,1,pq
B189,c,1,pq
B214,abc,1,pq
B217,abc,1,pq
B223,abc,1,pq
B233,a,1,pq
B247,abc,1,pq
B259,b,1,pq
B266,b,1,pq
B269,b,1,pq
B277,b,1,pq
B283,b,1,pq
B284,b,1,pq
B285,b,1,pq
B287,a,1,pq
B299,b,1,pq
