bus_id,super_node,kept
B1,B1,1
B2,B1,0
B3,B3,1
B4,B3,0
B5,B5,1
B6,B6,1
B7,B6,0
B8,B6,0
B9,B6,0
B10,B6,0
B11,B6,0
B12,B6,0
B13,B6,0
B14,B6,0
B15,B6,0
B16,B16,1
B17,B16,0
B18,B16,0
B19,B16,0
B20,B16,0
B21,B16,0
B22,B22,1
B23,B22,0
B24,B22,0
B25,B22,0
B26,B22,0
B27,B22,0
B28,B22,0
B29,B22,0
B30,B22,0
B31,B85,0
B32,B85,0
B33,B85,0
B34,B85,0
B35,B85,0
B36,B85,0
B37,B85,0
B38,B85,0
B39,B85,0
B40,B85,0
B41,B85,0
B42,B85,0
B43,B43,1
B44,B43,0
B45,B43,0
B46,B43,0
B47,B43,0
B48,B43,0
B49,B43,0
B50,B43,0
B51,B43,0
B52,B43,0
B53,B43,0
B54,B102,0
B55,B102,0
B56,B56,1
B57,B5,0
B58,B5,0
B59,B5,0
B60,B5,0
B61,B5,0
B62,B5,0
B63,B3,0
B64,B3,0
B65,B3,0
B66,B3,0
B67,B3,0
B68,B3,0
B69,B3,0
B70,B3,0
B71,B3,0
B72,B3,0
B73,B3,0
B74,B3,0
B75,B75,1
B76,B75,0
B77,B75,0
B78,B75,0
B79,B75,0
B80,B75,0
B81,B81,1
B82,B81,0
B83,B81,0
B84,B84,1
B85,B85,1
B86,B85,0
B87,B85,0
B88,B85,0
B89,B6,0
B90,B90,1
B91,B5,0
B92,B5,0
B93,B5,0
B94,B5,0
B95,B5,0
B96,B5,0
B97,B5,0
B98,B5,0
B99,B5,0
B100,B5,0
B101,B5,0
B102,B102,1
B103,B102,0
B104,B102,0
B105,B102,0
B106,B102,0
B107,B102,0
B108,B102,0
B109,B109,1
B110,B109,0
B111,B102,0
B112,B102,0
B113,B102,0
B114,B102,0
B115,B102,0
B116,B102,0
B117,B102,0
B118,B102,0
B119,B102,0
B120,B102,0
B121,B102,0
B122,B102,0
B123,B102,0
B124,B22,0
B125,B22,0
B126,B22,0
B127,B22,0
B128,B22,0
B129,B22,0
B130,B22,0
B131,B22,0
B132,B16,0
B133,B16,0
B134,B16,0
B135,B16,0
B136,B16,0
B137,B16,0
B138,B16,0
B139,B16,0
B140,B16,0
B141,B16,0
B142,B16,0
B143,B16,0
B144,B16,0
B145,B16,0
B146,B16,0
B147,B16,0
B148,B16,0
B149,B16,0
B150,B16,0
B151,B16,0
B152,B16,0
B153,B153,1
B154,B153,0
B155,B155,1
B156,B6,0
B157,B6,0
B158,B6,0
B159,B224,0
B160,B224,0
B161,B224,0
B162,B224,0
B163,B224,0
B164,B224,0
B165,B224,0
B166,B224,0
B167,B224,0
B168,B224,0
B169,B224,0
B170,B214,0
B171,B214,0
B172,B214,0
B173,B214,0
B174,B214,0
B175,B214,0
B176,B214,0
B177,B214,0
B178,B214,0
B179,B214,0
B180,B214,0
B181,B214,0
B182,B214,0
B183,B214,0
B184,B214,0
B185,B214,0
B186,B214,0
B187,B214,0
B188,B22,0
B189,B22,0
B190,B224,0
B191,B224,0
B192,B224,0
B193,B224,0
B194,B224,0
B195,B224,0
B196,B224,0
B197,B224,0
B198,B224,0
B199,B224,0
B200,B224,0
B201,B224,0
B202,B224,0
B203,B224,0
B204,B224,0
B205,B224,0
B206,B224,0
B207,B224,0
B208,B224,0
B209,B224,0
B210,B224,0
B211,B224,0
B212,B224,0
B213,B22,0
B214,B214,1
B215,B214,0
B216,B214,0
B217,B214,0
B218,B214,0
B219,B214,0
B220,B214,0
B221,B214,0
B222,B214,0
B223,B214,0
B224,B224,1
B225,B224,0
B226,B224,0
B227,B224,0
B228,B224,0
B229,B224,0
B230,B224,0
B231,B224,0
B232,B232,1
B233,B232,0
B234,B224,0
B235,B224,0
B236,B43,0
B237,B43,0
B238,B84,0
B239,B84,0
B240,B84,0
B241,B84,0
B242,B84,0
B243,B84,0
B244,B84,0
B245,B84,0
B246,B84,0
B247,B247,1
B248,B247,0
B249,B247,0
B250,B247,0
B251,B247,0
B252,B247,0
B253,B247,0
B254,B247,0
B255,B247,0
B256,B247,0
B257,B247,0
B258,B43,0
B259,B259,1
B260,B43,0
B261,B43,0
B262,B43,0
B263,B263,1
B264,B263,0
B265,B263,0
B266,B263,0
B267,B263,0
B268,B263,0
B269,B263,0
B270,B263,0
B271,B263,0
B272,B263,0
B273,B263,0
B274,B263,0
B275,B263,0
B276,B263,0
B277,B263,0
B278,B263,0
B279,B263,0
B280,B299,0
B281,B299,0
B282,B299,0
B283,B299,0
B284,B284,1
B285,B285,1
B286,B3,0
B287,B3,0
B288,B247,0
B289,B247,0
B290,B247,0
B291,B247,0
B292,B84,0
B293,B84,0
B294,B84,0
B295,B84,0
B296,B84,0
B297,B81,0
B298,B81,0
B299,B299,1
B300,B299,0
