bus_id,phase,scenario,p_pu,q_pu
B1,a,h067,0,0
B1,a,h091,0,0
B1,b,h067,0,0
B1,b,h091,0,0
B1,c,h067,0,0
B1,c,h091,0,0
B3,a,h067,-0.0053759999999999997,-0.0011696178852518644
B3,a,h091,0,0
B3,b,h067,0,0
B3,b,h091,0,0
B3,c,h067,0,0
B3,c,h091,0,0
B5,a,h067,0,0
B5,a,h091,0,0
B5,b,h067,0,0
B5,b,h091,0,0
B5,c,h067,-0.0069120000000000006,-0.0014035414623022372
B5,c,h091,-0.0076800000000000002,-0.0015594905136691523
B6,a,h067,-0.0026880000000000003,-0.00054582167978420337
B6,a,h091,-0.00192,-0.00038987262841728813
B6,b,h067,0,0
B6,b,h091,0,0
B6,c,h067,-0.0026880000000000003,-0.00054582167978420337
B6,c,h091,-0.0023040000000000001,-0.0004678471541007457
B16,a,h067,-0.008064,-0.00163746503935261
B16,a,h091,-0.0069119999999999997,-0.0014035414623022372
B16,b,h067,0,0
B16,b,h091,0,0
B16,c,h067,-0.014592000000000001,-0.0029630319759713897
B16,c,h091,-0.016896000000000001,-0.0034308791300721353
B22,a,h067,0,0
B22,a,h091,0,0
B22,b,h067,-0.0025920000000000001,-0.00052632804836333889
B22,b,h091,-0.001152,-0.00023392357705037285
B22,c,h067,-0.012288,-0.0024951848218706437
B22,c,h091,-0.027647999999999999,-0.0056141658492089488
B43,a,h067,0,0
B43,a,h091,0,0
B43,b,h067,0,0
B43,b,h091,0,0
B43,c,h067,0,0
B43,c,h091,0,0
B56,c,h067,-0.011136,-0.0022612612448202709
B56,c,h091,-0.0061440000000000002,-0.0012475924109353219
B75,a,h067,0,0
B75,a,h091,0,0
B75,b,h067,0,0
B75,b,h091,0,0
B75,c,h067,0,0
B75,c,h091,0,0
B81,a,h067,0,0
B81,a,h091,0,0
B81,b,h067,0,0
B81,b,h091,0,0
B81,c,h067,0,0
B81,c,h091,0,0
B84,a,h067,-0.001536,-0.00031189810273383046
B84,a,h091,0,0
B84,b,h067,0,0
B84,b,h091,0,0
B84,c,h067,0,0
B84,c,h091,0,0
B85,a,h067,-0.003264,-0.00066278346830938976
B85,a,h091,0,0
B85,b,h067,0,0
B85,b,h091,0,0
B85,c,h067,0,0
B85,c,h091,0,0
B90,c,h067,-0.0069119999999999997,-0.0014035414623022372
B90,c,h091,-0.0046080000000000001,-0.00093569430820149139
B102,c,h067,-0.014592000000000001,-0.0029630319759713897
B102,c,h091,-0.022272,-0.0045225224896405418
B109,c,h067,-0.0046080000000000001,-0.00093569430820149139
B109,c,h091,-0.0046080000000000001,-0.00093569430820149139
B153,b,h067,-0.0076800000000000002,-0.0015594905136691525
B153,b,h091,-0.0096000000000000009,-0.0019493631420864407
B155,b,h067,-0.0063600000000000002,-0.0012914530816322668
B155,b,h091,-0.0057600000000000004,-0.0011696178852518642
B214,a,h067,-0.00038400000000000001,-7.7974525683457616e-05
B214,a,h091,-0.00038400000000000001,-7.7974525683457616e-05
B214,b,h067,-0.0092160000000000002,-0.001871388616402983
B214,b,h091,-0.0069119999999999997,-0.0014035414623022372
B214,c,h067,-0.033792000000000003,-0.0068617582601442706
B214,c,h091,-0.014208000000000002,-0.0028850574502879318
B224,a,h067,-0.00192,-0.00038987262841728808
B224,a,h091,-0.0053760000000000006,-0.0010916433595684067
B224,b,h067,-0.0038400000000000001,-0.00077974525683457627
B224,b,h091,-0.0053760000000000006,-0.0010916433595684067
B224,c,h067,-0.0092160000000000002,-0.0018713886164029828
B224,c,h091,-0.0092160000000000002,-0.0018713886164029828
B232,a,h067,-0.0026880000000000003,-0.00054582167978420337
B232,a,h091,-0.0038400000000000001,-0.00077974525683457627
B247,a,h067,0,0
B247,a,h091,0,0
B247,b,h067,0,0
B247,b,h091,0,0
B247,c,h067,0,0
B247,c,h091,0,0
B259,b,h067,-0.0043439999999999998,-0.00088208682179411434
B259,b,h091,0,0
B263,b,h067,-0.016847999999999998,-0.0034211323143617032
B263,b,h091,0,0
B284,b,h067,-0.0030720000000000001,-0.00062379620546766093
B284,b,h091,0,0
B285,b,h067,-0.018048000000000002,-0.0036648027071225085
B285,b,h091,0,0
B299,b,h067,0,0
B299,b,h091,0,0
