bus_id,phases,base_kv,type
sourcebus,abc,1,slack
1,abc,1,pq
5,abc,1,pq
15,abc,1,pq
16,abc,1,pq
23,abc,1,pq
28,abc,1,pq
37,abc,1,pq
53,abc,1,pq
56,abc,1,pq
81,abc,1,pq
101,abc,1,pq
112,abc,1,pq
114,abc,1,pq
116,abc,1,pq
117,abc,1,pq
127,abc,1,pq
145,abc,1,pq
153,abc,1,pq
156,abc,1,pq
163,abc,1,pq
166,abc,1,pq
211,abc,1,pq
212,abc,1,pq
239,abc,1,pq
242,abc,1,pq
247,abc,1,pq
253,abc,1,pq
263,abc,1,pq
271,abc,1,pq
280,abc,1,pq
310,abc,1,pq
311,abc,1,pq
328,abc,1,pq
332,abc,1,pq
356,abc,1,pq
360,abc,1,pq
373,abc,1,pq
379,abc,1,pq
390,abc,1,pq
391,abc,1,pq
396,abc,1,pq
403,abc,1,pq
409,abc,1,pq
423,abc,1,pq
452,abc,1,pq
453,abc,1,pq
471,abc,1,pq
475,abc,1,pq
480,abc,1,pq
487,abc,1,pq
508,abc,1,pq
544,abc,1,pq
546,abc,1,pq
559,abc,1,pq
578,abc,1,pq
615,abc,1,pq
621,abc,1,pq
627,abc,1,pq
658,abc,1,pq
659,abc,1,pq
666,abc,1,pq
672,abc,1,pq
686,abc,1,pq
703,abc,1,pq
706,abc,1,pq
707,abc,1,pq
718,abc,1,pq
721,abc,1,pq
732,abc,1,pq
736,abc,1,pq
745,abc,1,pq
749,abc,1,pq
754,abc,1,pq
783,abc,1,pq
794,abc,1,pq
824,abc,1,pq
826,abc,1,pq
843,abc,1,pq
859,abc,1,pq
885,abc,1,pq
901,abc,1,pq
