bus_id,phase,scenario,v_re_pu,v_im_pu
sourcebus,a,h001,1.049886853564808,-0.000177676224585
sourcebus,b,h001,-0.52506050246135505,-0.90916488273113805
sourcebus,c,h001,-0.52482635100092201,0.90934255913336104
1,a,h001,0.90866887324538204,-0.52547081969848497
1,b,h001,-0.90935957319787697,-0.52420699964487705
1,c,h001,0.00048626158381100002,1.0497599922975129
5,a,h001,0.90863753445343598,-0.52543036973328905
5,b,h001,-0.90931494408090696,-0.52417913270533201
5,c,h001,0.00048515517741199999,1.0497443232097541
15,a,h001,0.90830017884338299,-0.52499493422870802
15,b,h001,-0.90883452087233496,-0.52387915086792003
15,c,h001,0.00047324494141099999,1.049575648722602
16,a,h001,0.90830017884338299,-0.52499493422870802
16,b,h001,-0.90883452087233496,-0.52387915086792003
16,c,h001,0.00047324494141099999,1.049575648722602
23,a,h001,0.90820226249088698,-0.52486855051049697
23,b,h001,-0.90869507962153495,-0.52379208212959705
23,c,h001,0.00046978803470399999,1.0495266915093771
28,a,h001,0.90802380612215805,-0.52461645291519499
28,b,h001,-0.90833130182675303,-0.52360664006998503
28,c,h001,0.00048564226980500001,1.0493809422219631
37,a,h001,0.90779426854102396,-0.52438337782403299
37,b,h001,-0.90809585685878902,-0.52346403770362004
37,c,h001,0.000446040400656,1.049221646411588
56,a,h001,0.90830017884337999,-0.52499493422870702
56,b,h001,-0.90883452087233296,-0.52387915086791803
56,c,h001,0.00047324494141099999,1.0495756487225989
59,a,h001,0.90748872330707897,-0.52410189281980202
59,b,h001,-0.90785812164187496,-0.52330464513307595
59,c,h001,0.00037405906649300001,1.0490206330113501
81,a,h001,0.90779426854102896,-0.52438337782404698
81,b,h001,-0.90809585685876704,-0.52346403770362604
81,c,h001,0.00044604040066500002,1.0492216464115811
101,a,h001,0.90723627401585205,-0.52386967541274998
101,b,h001,-0.90759213769284597,-0.52316830530491198
101,c,h001,0.00032454206091599998,1.0487898357671639
112,a,h001,0.90779426854101697,-0.52438337782414302
112,b,h001,-0.90809585685876404,-0.523464037703675
112,c,h001,0.000446040400668,1.0492216464115229
114,a,h001,0.90710676396137102,-0.52368676472895703
114,b,h001,-0.90740833310633895,-0.523039425311984
114,c,h001,0.00032446885266000002,1.048757982512406
117,a,h001,0.90710617430509799,-0.52368654088703204
117,b,h001,-0.90740827442424099,-0.52303910327387504
117,c,h001,0.00032443637726399998,1.0487578916145719
127,a,h001,0.90710453850494299,-0.52368591991397695
127,b,h001,-0.90740811163078205,-0.52303820988901095
127,c,h001,0.00032434628535700001,1.0487576394495399
145,a,h001,0.90710636015625601,-0.52368755524392696
145,b,h001,-0.90740385708302396,-0.52303705226390196
145,c,h001,0.00032727382208200002,1.048752785823915
148,a,h001,0.90722229395291398,-0.52388260174018797
148,b,h001,-0.907595418578934,-0.52317933362793101
148,c,h001,0.00032769196164099997,1.0487480679648351
153,a,h001,0.90695644039419299,-0.52349655433334497
153,b,h001,-0.90719616973370898,-0.52286962871008003
153,c,h001,0.00034271978237100003,1.0487231122989169
156,a,h001,0.90710617430509699,-0.52368654088703104
156,b,h001,-0.90740827442423999,-0.52303910327387404
156,c,h001,0.00032443637726399998,1.0487578916145699
163,a,h001,0.90721484963654198,-0.523889207679892
163,b,h001,-0.90759788199772995,-0.52318544729268102
163,c,h001,0.00032886779881800002,1.048726948395853
166,a,h001,0.90710570253322398,-0.52368983405156899
166,b,h001,-0.907404514706037,-0.52303933107148404
166,c,h001,0.00032773843093999999,1.0487472411498351
211,a,h001,0.90707839657812295,-0.52366078199951704
211,b,h001,-0.90740845603993203,-0.52303782479761696
211,c,h001,0.00032400187615000002,1.0487580245408279
212,a,h001,0.90710570253323497,-0.52368983405157499
212,b,h001,-0.90740451470601902,-0.52303933107147005
212,c,h001,0.00032773843097300002,1.048747241149826
239,a,h001,0.90710664103314798,-0.52368749675106196
239,b,h001,-0.90738450454254305,-0.52303147473362299
239,c,h001,0.00032755469898500001,1.0487528443167209
247,a,h001,0.90685925712048598,-0.52337358446717597
247,b,h001,-0.90705900740114498,-0.522759856237624
247,c,h001,0.00035451889764299998,1.0487005689175519
250,a,h001,0.90720555688177495,-0.52390031483007704
250,b,h001,-0.90760205687602202,-0.52319616606780495
250,c,h001,0.000256467555197,1.0484075386460729
253,a,h001,0.90710562459353405,-0.52369007091591402
253,b,h001,-0.90740459264574802,-0.52303956793582496
253,c,h001,0.00032353329468199997,1.048730249124769
263,a,h001,0.90682487497786002,-0.52332949041032695
263,b,h001,-0.90700804015876102,-0.52272007669357901
263,c,h001,0.00035938952752100002,1.0486916953337171
271,a,h001,0.90682485274046998,-0.52332955798306902
271,b,h001,-0.90700806239614895,-0.52272014426632196
271,c,h001,0.00035818969450599999,1.0486868478283231
280,a,h001,0.90678305349969102,-0.52327432033357202
280,b,h001,-0.906945181452392,-0.52267019832450701
280,c,h001,0.00036579285630700001,1.0486833186013711
310,a,h001,0.90668620284965895,-0.52315807097631395
310,b,h001,-0.90691096886804601,-0.52259890180808599
310,c,h001,0.00034496240990500001,1.0487131545036059
311,a,h001,0.906777838807175,-0.523256110617214
311,b,h001,-0.90688480729542598,-0.52264484740204797
311,c,h001,0.00038133327176599998,1.048660144880798
328,a,h001,0.90685279523387796,-0.52336737310289805
328,b,h001,-0.90705909253636896,-0.522759761082223
328,c,h001,0.00035443376240700003,1.048700664072961
332,a,h001,0.90650402601357505,-0.52293047900188905
332,b,h001,-0.90682950508861304,-0.522455778306122
332,c,h001,0.00031084140158599998,1.048771766072234
355,a,h001,0.90667223204958503,-0.52314464430083196
355,b,h001,-0.90691115293572799,-0.52259869611447496
355,c,h001,0.000344778342215,1.0487133601972349
361,a,h001,0.90650603086417003,-0.52293006178982404
361,b,h001,-0.90669136842169795,-0.52241598785239796
361,c,h001,0.00031284625224700001,1.048772183284324
373,a,h001,0.90677656140617302,-0.52325164993047202
373,b,h001,-0.90687001792715505,-0.52263863739188399
373,c,h001,0.000385140081483,1.048654468202147
379,a,h001,0.90677655388947398,-0.52325167276963902
379,b,h001,-0.90687002544384998,-0.52263866023104499
379,c,h001,0.00038473450319299998,1.0486528297723421
391,a,h001,0.90677053107293004,-0.52322712535292104
391,b,h001,-0.90679361658089597,-0.52260513778860296
391,c,h001,0.00040531757073499999,1.048629115054196
395,a,h001,0.906357324819554,-0.52280559338121801
395,b,h001,-0.90687415570372198,-0.52239934849880298
395,c,h001,0.00025052770605600002,1.048801246446641
396,a,h001,0.906770457806372,-0.52322734797012105
396,b,h001,-0.90679368984748798,-0.52260536040581296
396,c,h001,0.00040136432946699999,1.048613145003074
403,a,h001,0.90676806624265904,-0.523209708299197
403,b,h001,-0.90674834757177403,-0.52258252355293
403,c,h001,0.00041827015485500002,1.048621834299202
423,a,h001,0.90677648022642598,-0.52325189659170601
423,b,h001,-0.90687009910694105,-0.522638884053092
423,c,h001,0.00038075986756000001,1.0486367732879389
442,a,h001,0.906761117429561,-0.52316060639926198
442,b,h001,-0.90662072585248998,-0.52251876983478396
442,c,h001,0.000454785887992,1.0486013085029451
452,a,h001,0.90677655388946499,-0.52325167276963103
452,b,h001,-0.90687002544378503,-0.52263866023100602
452,c,h001,0.00038473450319500001,1.0486528297723461
453,a,h001,0.90595555534733696,-0.52246357005799904
453,b,h001,-0.90699644001224999,-0.52224480460398504
453,c,h001,8.5347035352999995e-05,1.0488819841294179
471,a,h001,0.90677036392824295,-0.52322763321468702
471,b,h001,-0.90679378372566499,-0.52260564565038903
471,c,h001,0.000396298950031,1.0485926822073579
475,a,h001,0.90578583259950796,-0.52232108437893399
475,b,h001,-0.90704527804923596,-0.52218105991058905
475,c,h001,1.5403475161999999e-05,1.0489094152838061
480,a,h001,0.90676806624267403,-0.52320970829921698
