bus_id,phases,base_kv,type
150,abc,1,slack
150r,abc,1,pq
149,abc,1,pq
1,abc,1,pq
3,c,1,pq
7,abc,1,pq
8,abc,1,pq
9,a,1,pq
13,abc,1,pq
9r,a,1,pq
14,a,1,pq
34,c,1,pq
18,abc,1,pq
19,a,1,pq
23,abc,1,pq
25,abc,1,pq
25r,ac,1,pq
35,abc,1,pq
42,abc,1,pq
47,abc,1,pq
52,abc,1,pq
53,abc,1,pq
57,abc,1,pq
60,abc,1,pq
61,abc,1,pq
62,abc,1,pq
64,abc,1,pq
65,abc,1,pq
67,abc,1,pq
72,abc,1,pq
97,abc,1,pq
69,a,1,pq
71,a,1,pq
73,c,1,pq
76,abc,1,pq
74,c,1,pq
80,abc,1,pq
81,abc,1,pq
82,abc,1,pq
84,c,1,pq
87,abc,1,pq
197,abc,1,pq
101,abc,1,pq
105,abc,1,pq
103,c,1,pq
104,c,1,pq
107,b,1,pq
109,a,1,pq
110,a,1,pq
113,a,1,pq
135,abc,1,pq
152,abc,1,pq
160r,abc,1,pq
160,abc,1,pq
61s,abc,1,pq
610,abc,1,pq
