original_bus,super_bus,survives
150,150,1
150r,150r,1
149,149,1
1,1,1
2,1,0
3,3,1
7,7,1
4,3,0
5,3,0
6,3,0
8,8,1
12,8,0
9,9,1
13,13,1
9r,9r,1
14,14,1
34,13,0
18,18,1
11,14,0
10,14,0
15,15,1
16,15,0
17,15,0
19,18,0
21,18,0
20,20,1
22,18,0
23,23,1
24,23,0
25,25,1
25r,25r,1
26,25r,0
28,25,0
27,25r,0
31,25r,0
33,25r,0
29,25,0
30,25,0
250,25,0
32,25r,0
35,35,1
36,35,0
40,35,0
37,35,0
38,35,0
39,35,0
41,35,0
42,42,1
43,42,0
44,42,0
45,42,0
47,47,1
46,42,0
48,47,0
49,47,0
50,47,0
51,47,0
151,47,0
52,52,1
53,53,1
54,53,0
55,53,0
57,57,1
56,53,0
58,57,0
60,60,1
59,57,0
61,61,1
62,62,1
63,62,0
64,64,1
65,65,1
66,65,0
67,67,1
68,67,0
72,72,1
97,97,1
69,69,1
70,69,0
71,71,1
73,73,1
76,76,1
74,74,1
75,74,0
77,76,0
86,76,0
78,76,0
79,76,0
80,80,1
81,81,1
82,82,1
84,84,1
83,82,0
85,84,0
87,87,1
88,87,0
89,87,0
90,87,0
91,87,0
92,87,0
93,87,0
94,87,0
95,87,0
96,87,0
98,97,0
99,97,0
100,97,0
450,97,0
197,197,1
101,101,1
102,101,0
105,105,1
103,103,1
104,104,1
106,105,0
108,105,0
107,107,1
109,109,1
300,105,0
110,110,1
111,110,0
112,110,0
113,113,1
114,113,0
135,135,1
152,152,1
160r,160r,1
160,160,1
61s,61s,1
610,610,1
