bus_id,super_node,kept
150,150,1
150r,150r,1
149,149,1
1,1,1
2,1,0
3,1,0
7,7,1
4,1,0
5,1,0
6,1,0
8,8,1
12,8,0
9,9,1
13,13,1
9r,9r,1
14,9r,0
34,13,0
18,18,1
11,9r,0
10,9r,0
15,13,0
16,13,0
17,13,0
19,18,0
21,18,0
20,18,0
22,18,0
23,18,0
24,18,0
25,25,1
25r,25r,1
26,25r,0
28,25,0
27,25r,0
31,25r,0
33,25r,0
29,25,0
30,25,0
250,25,0
32,25r,0
35,135,0
36,135,0
40,40,1
37,135,0
38,135,0
39,135,0
41,40,0
42,40,0
43,40,0
44,40,0
45,40,0
47,40,0
46,40,0
48,40,0
49,40,0
50,40,0
51,40,0
151,40,0
52,52,1
53,52,0
54,52,0
55,52,0
57,57,1
56,52,0
58,57,0
60,60,1
59,57,0
61,61,1
62,60,0
63,60,0
64,64,1
65,64,0
66,64,0
67,67,1
68,67,0
72,67,0
97,97,1
69,67,0
70,67,0
71,67,0
73,67,0
76,67,0
74,67,0
75,67,0
77,67,0
86,67,0
78,67,0
79,67,0
80,80,1
81,80,0
82,80,0
84,80,0
83,80,0
85,80,0
87,67,0
88,67,0
89,67,0
90,67,0
91,67,0
92,67,0
93,67,0
94,67,0
95,67,0
96,67,0
98,97,0
99,97,0
100,97,0
450,97,0
197,197,1
101,197,0
102,197,0
105,197,0
103,197,0
104,197,0
106,197,0
108,197,0
107,197,0
109,109,1
300,197,0
110,109,0
111,109,0
112,109,0
113,109,0
114,109,0
135,135,1
152,152,1
160r,160r,1
160,160,1
61s,61s,1
610,610,1
