bus_id,phase,scenario,v_re_pu,v_im_pu
sourcebus,a,h001,0.90932724286646105,0.524989904159604
sourcebus,b,h001,-8.4159979199999996e-06,-1.049996856091481
sourcebus,c,h001,-0.90931882686869603,0.52500695213683302
800,a,h001,1.0499929898048559,-1.8373301478e-05
800,b,h001,-0.52501081552622697,-0.90931376415287102
800,c,h001,-0.52498400808059897,0.90933150370756899
806,a,h001,1.0457223730920799,-0.0016013378182479999
806,b,h001,-0.52552117157780298,-0.906081780726396
806,c,h001,-0.52233896903197696,0.90785674831449603
808,a,h001,1.0134442372532,-0.013597620711522001
808,b,h001,-0.52972605355590996,-0.88318980818873205
808,c,h001,-0.50344082102892795,0.89712577182772302
812,a,h001,0.97571847335259498,-0.027567552805945
812,b,h001,-0.53441252323879396,-0.85768814314745401
812,c,h001,-0.48153586996771502,0.88396130859284106
814,a,h001,0.94561915425547205,-0.038384086903404002
814,b,h001,-0.53782955459331305,-0.83747854635113805
814,c,h001,-0.464276204517518,0.87324199964389004
814r,a,h001,1.0281000519264081,-0.042097838673944003
814r,b,h001,-0.55143798609986105,-0.85813222387680099
814r,c,h001,-0.47847097089403701,0.900555553226837
816,a,h001,1.027687271115745,-0.042171991857711998
816,b,h001,-0.55141285028262899,-0.85783817109081495
816,c,h001,-0.47824908520144699,0.90036490497059896
818,a,h001,1.0267652342889191,-0.042191199147877001
824,a,h001,1.018604202499116,-0.043834356297763999
824,b,h001,-0.54972414390003299,-0.84767098579685196
824,c,h001,-0.47037200912886001,0.89499049689853505
820,a,h001,1.0032776035041331,-0.042243782465800003
830,a,h001,0.99984263969356901,-0.047702265130032999
830,b,h001,-0.54686840986012997,-0.82843609222386805
830,c,h001,-0.45405362516835202,0.88343262971209402
832,a,h001,1.0469113833408601,-0.059027937942990001
832,b,h001,-0.58569654141822003,-0.85995884643373799
832,c,h001,-0.46071068290998402,0.93388918668913001
834,a,h001,1.0417929592894479,-0.061142624785030998
834,b,h001,-0.58589249256887799,-0.85373985474229597
834,c,h001,-0.45474134694724999,0.93158344868582399
852r,a,h001,1.046919201450508,-0.059026351704571003
852r,b,h001,-0.58569792189997005,-0.85996696285458196
852r,c,h001,-0.460717500797718,0.93389412697986596
888,a,h001,1.0087086320784151,-0.083527343612341001
888,b,h001,-0.58741790850612596,-0.81459102149926998
888,c,h001,-0.420786876882348,0.91302208720253597
852,a,h001,0.96839080065891203,-0.054367991770209997
852,b,h001,-0.541546639701868,-0.79558680963895101
852,c,h001,-0.426379774569766,0.86369892589755304
890,a,h001,0.92523108087827,-0.085570658727777998
890,b,h001,-0.55720481333905403,-0.74405130687967402
890,c,h001,-0.37409858045632799,0.84389684900699402
