bus_id,phase,scenario,p_pu,q_pu
sourcebus,a,h001,0.355849549904665,0.276386757970431
sourcebus,b,h001,0.281969956779692,0.18561684607822301
sourcebus,c,h001,0.39752135946120398,0.167018498104584
799,a,h001,-2.9999999999999998e-15,1.0000000000000001e-15
799,b,h001,3.5999999999999998e-13,-2.2799999999999999e-13
799,c,h001,5.9999999999999997e-15,-1.1e-14
701,a,h001,-0.083135533547296997,-0.073558728478638993
701,b,h001,-0.056617719699198002,-0.029344086326347999
701,c,h001,-0.11224700820877299,-0.023097320527734999
702,a,h001,-0.050183751818181001,-0.033483654801279003
702,b,h001,-0.043481424260498003,-0.021062031062469001
702,c,h001,-0.060007467386496996,-0.017886133215649004
703,a,h001,-0.042813314123898001,-0.015734090795140997
703,b,h001,-0.029341211553220004,-0.027023265343621001
703,c,h001,-0.028244282437371003,-0.00724618532949
730,a,h001,-0.036699591424696996,-0.023318679662857004
730,b,h001,-0.034350552330012003,-0.016142322124200002
730,c,h001,-0.044085608682465999,-0.014700884962671999
720,a,h001,-0.014776763952427,-0.022312880275232996
720,b,h001,-0.057667622261994997,0.0022025159336279999
720,c,h001,-0.059157058242978997,-0.044331205869606996
734,a,h001,-0.099266033708806989,-0.047689584313796995
734,b,h001,-0.049913533000933,-0.056532069300830004
734,c,h001,-0.072414476279975992,-0.0031213992229370013
799r,a,h001,-8.9999999999999995e-15,1.1e-14
799r,b,h001,1.829e-12,3.6999999999999999e-13
799r,c,h001,1.7e-14,1.4999999999999999e-14
