equipment_class,equipment_id,terminal,original_bus,reduced_bus
capacitor,capbank2a,bus,r20185,l2823592
capacitor,capbank2b,bus,r20185,l2823592
capacitor,capbank2c,bus,r20185,l2823592
capacitor,capbank1a,bus,r42247,q16483
capacitor,capbank1b,bus,r42247,q16483
capacitor,capbank1c,bus,r42247,q16483
capacitor,capbank0a,bus,r42246,q16642
capacitor,capbank0b,bus,r42246,q16642
capacitor,capbank0c,bus,r42246,q16642
capacitor,capbank3,bus,r18242,m1069135
transformer,hvmv_sub,from,hvmv_sub_hsb,hvmv_sub_hsb
transformer,hvmv_sub,to,regxfmr_hvmv_sub_lsb,regxfmr_hvmv_sub_lsb
transformer,feeder_rega,from,regxfmr_hvmv_sub_lsb,regxfmr_hvmv_sub_lsb
transformer,feeder_rega,to,_hvmv_sub_lsb,_hvmv_sub_lsb
transformer,feeder_regb,from,regxfmr_hvmv_sub_lsb,regxfmr_hvmv_sub_lsb
transformer,feeder_regb,to,_hvmv_sub_lsb,_hvmv_sub_lsb
transformer,feeder_regc,from,regxfmr_hvmv_sub_lsb,regxfmr_hvmv_sub_lsb
transformer,feeder_regc,to,_hvmv_sub_lsb,_hvmv_sub_lsb
transformer,t21396254a,from,l2804253,l2804253
transformer,t21396254a,to,x2804253a,x2804253a
transformer,t21396254a,from,l2804253,l2804253
transformer,t21396254a,to,x2804253a,x2804253a
transformer,t5321859b,from,l3254213,l3254213
transformer,t5321859b,to,x3254213b,x3254213b
transformer,t5321859b,from,l3254213,l3254213
transformer,t5321859b,to,x3254213b,x3254213b
transformer,t5391741b,from,l3216339,l3216339
transformer,t5391741b,to,x3216339b,x3216339b
transformer,t5391741b,from,l3216339,l3216339
transformer,t5391741b,to,x3216339b,x3216339b
transformer,t5293672a,from,l2954355,l2954355
transformer,t5293672a,to,x2954355a,x2954355a
transformer,t5293672a,from,l2954355,l2954355
transformer,t5293672a,to,x2954355a,x2954355a
transformer,t21474711c,from,l2861197,l2861197
transformer,t21474711c,to,x2861197c,x2861197c
transformer,t21474711c,from,l2861197,l2861197
transformer,t21474711c,to,x2861197c,x2861197c
transformer,t5260488a,from,l2842379,l2842379
transformer,t5260488a,to,x2842379a,x2842379a
transformer,t5260488a,from,l2842379,l2842379
transformer,t5260488a,to,x2842379a,x2842379a
transformer,t5391758b,from,l2841636,l2841636
transformer,t5391758b,to,x2841636b,x2841636b
transformer,t5391758b,from,l2841636,l2841636
transformer,t5391758b,to,x2841636b,x2841636b
transformer,t228091193a,from,l3047289,l3047289
transformer,t228091193a,to,x3047289a,x3047289a
transformer,t228091193a,from,l3047289,l3047289
transformer,t228091193a,to,x3047289a,x3047289a
transformer,t228091193b,from,l3047289,l3047289
transformer,t228091193b,to,x3047289b,x3047289b
transformer,t228091193b,from,l3047289,l3047289
transformer,t228091193b,to,x3047289b,x3047289b
transformer,t228091193c,from,l3047289,l3047289
transformer,t228091193c,to,x3047289c,x3047289c
transformer,t228091193c,from,l3047289,l3047289
transformer,t228091193c,to,x3047289c,x3047289c
transformer,t5302862c,from,l3085399,l3085399
transformer,t5302862c,to,x3085399c,x3085399c
transformer,t5302862c,from,l3085399,l3085399
transformer,t5302862c,to,x3085399c,x3085399c
transformer,t21236413b,from,l3085391,l3085391
transformer,t21236413b,to,x3085391b,x3085391b
transformer,t21236413b,from,l3085391,l3085391
transformer,t21236413b,to,x3085391b,x3085391b
transformer,t5302468a,from,l2897778,l2897778
transformer,t5302468a,to,x2897778a,x2897778a
transformer,t5302468a,from,l2897778,l2897778
transformer,t5302468a,to,x2897778a,x2897778a
transformer,t5294787a,from,l3197647,l3197647
transformer,t5294787a,to,x3197647a,x3197647a
transformer,t5294787a,from,l3197647,l3197647
transformer,t5294787a,to,x3197647a,x3197647a
transformer,t5157715b,from,l2936275,l2936275
transformer,t5157715b,to,x2936275b,x2936275b
transformer,t5157715b,from,l2936275,l2936275
transformer,t5157715b,to,x2936275b,x2936275b
transformer,t5355768b,from,l2729408,l2729408
transformer,t5355768b,to,x2729408b,x2729408b
transformer,t5355768b,from,l2729408,l2729408
transformer,t5355768b,to,x2729408b,x2729408b
transformer,t5138562a,from,l2673310,l2673310
transformer,t5138562a,to,x2673310a,x2673310a
transformer,t5138562a,from,l2673310,l2673310
transformer,t5138562a,to,x2673310a,x2673310a
transformer,t5355934a,from,l3048212,l3048212
transformer,t5355934a,to,x3048212a,x3048212a
transformer,t5355934a,from,l3048212,l3048212
transformer,t5355934a,to,x3048212a,x3048212a
transformer,t5293483a,from,l3104133,l3104133
transformer,t5293483a,to,x3104133a,x3104133a
