case,level,Ebar,hops,scenarios,backend,buses,kept,reduction_pct,pq_error,held_out_error,radial,dss_error,dss_raw_error,dss_audit,seconds
ieee37,67pct,0.003,10,all,milp,39,13,66.6667,2.909253e-03,,true,0.0005604906546047284,0.0005604906546047284,1 winding(s) rebased,2.5
ieee37,77pct,0.008,10,all,milp,39,9,76.9231,7.062422e-03,,true,0.0014146102389671622,0.0014146102389671622,1 winding(s) rebased,0.2
ieee34,51pct,0.003,10,all,milp,37,18,51.3514,2.551138e-03,,true,0.00017061546729002508,0.00017061546729002508,location-only,0.1
ieee34,62pct,0.01,10,all,milp,37,14,62.1622,6.588422e-03,,true,0.0004994046553918885,0.0004994046553918885,location-only,0.0
ieee123,57pct,0.002,10,all,milp,130,56,56.9231,1.993531e-03,,true,0.000914869515318939,0.000914869515318939,location-only,2.3
ieee123,78pct,0.006,10,all,milp,130,29,77.6923,5.879989e-03,,true,0.0039487699277123145,0.0039487699277123145,location-only,0.6
european_lv,91pct,0.01,10,all,milp,907,82,90.9592,5.153562e-04,,true,0.00014953773099257717,0.00014953773099257717,location-only,4.4
european_lv,98pct,0.01,25,all,milp,907,21,97.6847,1.169199e-03,,true,0.0008828380515115697,0.0008828380515115697,location-only,7.7
case69,59pct,0.001,10,all,milp,69,28,59.4203,9.870768e-04,,true,,,,0.1
case69,77pct,0.006,10,all,milp,69,16,76.8116,5.779340e-03,,true,,,,0.1
case85,59pct,0.002,10,all,milp,85,35,58.8235,1.944184e-03,,true,,,,0.0
case85,78pct,0.006,10,all,milp,85,19,77.6471,5.918783e-03,,true,,,,0.1
case141,74pct,0.001,10,all,milp,141,37,73.7589,9.919688e-04,,true,,,,0.2
case141,85pct,0.003,10,all,milp,141,21,85.1064,2.990103e-03,,true,,,,0.3
case533mt,66pct,0.001,10,all,milp,533,180,66.2289,9.998092e-04,,true,,,,1.4
case533mt,83pct,0.003,10,all,milp,533,88,83.4897,2.976347e-03,,true,,,,7.7
case1197,50pct,0.006,10,all,milp,1197,593,50.4595,5.990434e-03,,true,,,,8.8
case1197,65pct,0.009,10,all,milp,1197,417,65.1629,8.961846e-03,,true,,,,12.4
R100,82pct,0.001,10,67+91,milp,100,18,82.0000,9.466558e-04,0.003633581971029698,true,,,,0.1
R100,91pct,0.005,10,67+91,milp,100,9,91.0000,4.763586e-03,0.011587927451896185,true,,,,0.1
R300,84pct,0.001,10,67+91,milp,300,48,84.0000,9.504973e-04,0.004165971492847698,true,,,,0.5
R300,91pct,0.003,10,67+91,milp,300,26,91.3333,2.986441e-03,0.013929523422200107,true,,,,0.5
ieee8500,31pct,0.005,0,all,search_gpu,4876,3346,31.3782,4.999070e-03,,true,0.003034313879590078,0.003034313879590078,location-only,162.9
ieee8500,41pct,0.02,0,all,search_gpu,4876,2856,41.4274,1.610750e-02,,true,0.002539938793818197,0.002539938793818197,location-only,287.9
